walk_id	walk_cn	circular	length	node_count	edge_count
1	0.23	FALSE	20	20	19
2	0.24	FALSE	19	19	18
3	0.02	FALSE	16	16	15
4	0.12	FALSE	2	2	1
5	0.01	FALSE	14	14	13
6	0.01	FALSE	0	1	0
7	0.48	FALSE	0	1	0
8	0.04	FALSE	9	9	8
9	0.05	TRUE	8	7	7
10	0.06	FALSE	16	16	15
11	0.27	FALSE	6	6	5
12	0.13	FALSE	13	13	12
13	0.07	FALSE	7	7	6
14	0.05	FALSE	11	11	10
15	0.13	FALSE	5	5	4
16	0.16	FALSE	11	11	10
17	0.16	FALSE	5	5	4
18	0.29	FALSE	2	2	1
19	0.55	FALSE	0	1	0
20	0.17	FALSE	0	1	0
21	0.37	FALSE	0	1	0
22	0.1	FALSE	8	8	7
23	0.23	FALSE	3	3	2
24	0.13	FALSE	9	9	8
25	0.76	FALSE	0	1	0
26	0.03	FALSE	0	1	0
27	0.18	FALSE	10	10	9
28	0.14	FALSE	7	7	6
29	0.21	FALSE	3	3	2
30	0.19	FALSE	2	2	1
31	0.57	TRUE	3	2	2
32	0.57	FALSE	0	1	0
33	1.02	FALSE	2	2	1
34	0.06	FALSE	0	1	0
35	0.08	FALSE	3	3	2
36	0.27	FALSE	0	1	0
37	0.12	FALSE	0	1	0
38	0.21	FALSE	5	5	4
39	0.06	FALSE	7	7	6
40	0.01	FALSE	2	2	1
41	0.19	FALSE	0	1	0
42	0.33	FALSE	0	1	0
43	0.16	TRUE	3	2	2
44	0.63	FALSE	2	2	1
45	0.61	FALSE	0	1	0
46	0.27	FALSE	5	5	4
47	0.21	FALSE	13	13	12
48	0.02	FALSE	2	2	1
49	0.05	FALSE	4	4	3
50	0.08	FALSE	3	3	2
51	0.27	FALSE	3	3	2
52	0.02	FALSE	2	2	1
53	0.01	FALSE	0	1	0
54	1.03	FALSE	0	1	0
55	0.51	FALSE	0	1	0
56	0.01	FALSE	11	11	10
57	0.38	FALSE	3	3	2
58	0.43	FALSE	0	1	0
59	0.7	FALSE	3	3	2
60	0.02	FALSE	0	1	0
61	0.36	TRUE	4	3	3
62	0.04	FALSE	0	1	0
63	0.04	FALSE	0	1	0
64	0.38	FALSE	0	1	0
65	0.7	FALSE	0	1	0
66	1.09	FALSE	0	1	0
