walk_id	walk_cn	circular	length	node_count	edge_count
1	0.05	FALSE	0	1	0
2	2.27	FALSE	0	1	0
3	1.19	FALSE	0	1	0
4	0.25	FALSE	0	1	0
5	1.36	FALSE	0	1	0
6	12.9	FALSE	0	1	0
7	0.01	FALSE	1444	1444	1443
8	0.01	FALSE	397	397	396
9	0.78	FALSE	16	16	15
10	0.28	FALSE	11	11	10
11	0.59	FALSE	9	9	8
12	0.04	FALSE	10	10	9
13	0.12	FALSE	8	8	7
14	0.25	FALSE	4	4	3
15	0.28	FALSE	44	44	43
16	0.18	FALSE	29	29	28
17	0.41	FALSE	41	41	40
18	0.17	FALSE	18	18	17
19	0.01	FALSE	7	7	6
20	0.02	FALSE	10	10	9
21	0.02	FALSE	9	9	8
22	0.14	FALSE	8	8	7
23	0.05	FALSE	3	3	2
24	1.33	FALSE	4	4	3
25	0.14	FALSE	6	6	5
26	0.22	FALSE	2	2	1
27	0.29	FALSE	12	12	11
28	0.07	FALSE	11	11	10
29	0.08	FALSE	21	21	20
30	0.42	FALSE	14	14	13
31	0.02	FALSE	2	2	1
32	0.25	FALSE	7	7	6
33	0.28	FALSE	3	3	2
34	0.02	FALSE	3	3	2
35	0.16	FALSE	7	7	6
36	0.07	FALSE	2	2	1
37	0.01	FALSE	7	7	6
38	0.48	FALSE	3	3	2
39	0.21	FALSE	3	3	2
40	0.23	FALSE	4	4	3
41	0.21	FALSE	2	2	1
42	5.05	FALSE	4	4	3
43	1.07	FALSE	4	4	3
44	4.25	FALSE	3	3	2
45	0.03	FALSE	2	2	1
46	7.5	FALSE	2	2	1
47	0.17	FALSE	2	2	1
48	1.55	FALSE	3	3	2
49	0.98	FALSE	2	2	1
50	0.77	FALSE	2	2	1
