segment_id	chrom	side	source_cn	generic_source_cn	reciprocal_source_cn
SEQ001	X	L	0.01266507987882311	0.01266507987882311	0.0
SEQ001	X	R	2.450556131866231e-07	2.450556131866231e-07	0.0
SEQ002	X	L	2.176832944382294	2.176832944382294	0.0
SEQ002	X	R	1.363162279584291	1.363162279584291	0.0
SEQ003	X	L	2.4841610575937044e-07	2.4841610575937044e-07	0.0
SEQ003	X	R	1.1631738234138136e-07	1.1631738234138136e-07	0.0
SEQ004	X	L	0.0162730440546143	0.016273044005525435	4.908886332485022e-11
SEQ004	X	R	2.4603799152080426e-07	2.459170484413199e-07	1.2094307948436517e-10
SEQ005	X	L	0.15179280270368783	0.15179280270368783	0.0
SEQ005	X	R	0.0	0.0	0.0
SEQ006	X	L	4.719839818016815e-09	4.719839818016815e-09	0.0
SEQ006	X	R	2.484962680212427e-07	2.484553582516742e-07	4.090976956847846e-11
SEQ007	X	L	0.9078399495004589	0.9078399495004589	0.0
SEQ007	X	R	0.0	0.0	0.0
SEQ008	X	L	7.650898841132475e-09	7.650898841132475e-09	0.0
SEQ008	X	R	0.7809298283790576	0.7809298283790576	0.0
SEQ009	X	L	2.411221683523948e-07	2.407694971573985e-07	3.526711949962582e-10
SEQ009	X	R	2.4098425827495755e-07	2.4098425827495755e-07	0.0
SEQ010	X	L	1.6915505825372925	1.6915505825372925	0.0
SEQ010	X	R	2.485153150629597e-07	2.485153150629597e-07	0.0
SEQ011	X	L	0.5599755668941409	0.5599755668941409	0.0
SEQ011	X	R	0.0	0.0	0.0
SEQ012	X	L	4.91669141899433e-09	4.91669141899433e-09	0.0
SEQ012	X	R	6.090366605457929e-08	3.656174951659588e-08	2.434191653798341e-08
SEQ013	X	L	0.0	0.0	0.0
SEQ013	X	R	0.27583518174276633	0.27583518174276633	0.0
SEQ014	X	L	2.4861590482890467e-07	2.4861590482890467e-07	0.0
SEQ014	X	R	0.0	0.0	0.0
SEQ015	X	L	4.859139749851466e-09	4.859139749851466e-09	0.0
SEQ015	X	R	1.2438064285885322e-07	1.2438064285885322e-07	0.0
SEQ016	X	L	7.254472389937536e-06	7.254472389937536e-06	0.0
SEQ016	X	R	2.4864772858611224e-07	2.4864772858611224e-07	0.0
SEQ017	X	L	0.19622279016162258	0.19622279016162258	0.0
SEQ017	X	R	2.4860886665134633e-07	2.4860886665134633e-07	0.0
SEQ018	X	L	0.24832057844652922	0.24832057844652922	0.0
SEQ018	X	R	0.28231953122693837	0.28231953122693837	0.0
SEQ019	X	L	2.485835375472685e-07	2.485835375472685e-07	0.0
SEQ019	X	R	2.4862102026634523e-07	2.4862102026634523e-07	0.0
SEQ020	X	L	0.23161916263094715	0.23161916263094715	0.0
SEQ020	X	R	2.484537303952279e-07	2.4841279009762277e-07	4.094029760516042e-11
SEQ021	X	L	1.8876698966686785	1.8876698966686785	0.0
SEQ021	X	R	0.0	0.0	0.0
SEQ022	X	L	4.857331356135784e-09	4.857331356135784e-09	0.0
SEQ022	X	R	4.71754557216558e-09	4.71754557216558e-09	0.0
SEQ023	X	L	0.0	0.0	0.0
SEQ023	X	R	2.3586453308639554	2.3586453308639554	0.0
SEQ024	X	L	2.48435877472334e-07	2.48435877472334e-07	0.0
SEQ024	X	R	1.1972526195678458e-07	1.1972526195678458e-07	0.0
SEQ025	X	L	0.2218081685332303	0.2218081685332303	0.0
SEQ025	X	R	4.258427301504041e-07	4.258427301504041e-07	0.0
SEQ026	X	L	3.5629060261065695e-07	3.5629060261065695e-07	0.0
SEQ026	X	R	2.4801743088166666e-07	2.4801743088166666e-07	0.0
SEQ027	X	L	1.2380158693960617	1.2380158693960617	0.0
SEQ027	X	R	4.731473347436822e-09	4.731473347436822e-09	0.0
SEQ028	X	L	0.0	0.0	0.0
SEQ028	X	R	0.1723256913026478	0.1723256913026478	0.0
SEQ029	X	L	1.1991394783515245e-07	1.1991394783515245e-07	0.0
SEQ029	X	R	1.2362564407188513e-05	1.2362564407188513e-05	0.0
SEQ030	X	L	2.5189265109504816e-07	2.518712413443509e-07	2.140975069721952e-11
SEQ030	X	R	1.1570185039586756	1.1570185039586756	0.0
SEQ031	X	L	2.445562533679711e-07	2.4438372438499117e-07	1.7252898297990813e-10
SEQ031	X	R	2.4445436761756665e-07	2.4445436761756665e-07	0.0
SEQ032	X	L	6.146176261521627	6.146176261521627	0.0
SEQ032	X	R	2.4844957597741824e-07	2.4844957597741824e-07	0.0
SEQ033	X	L	4.256017781925571	4.256017781925571	0.0
SEQ033	X	R	2.48446608051976e-07	2.48446608051976e-07	0.0
SEQ034	X	L	7.4984232676297164	7.4984232676297164	0.0
SEQ034	X	R	2.4844552858217973e-07	2.4844552858217973e-07	0.0
SEQ035	X	L	12.895969798361813	12.895969798361813	0.0
SEQ035	X	R	29.69549055955465	29.69549055955465	0.0
SEQ036	X	L	2.4837800259551256e-07	2.4837800259551256e-07	0.0
SEQ036	X	R	2.486481938448093e-07	2.486481938448093e-07	0.0
SEQ037	X	L	0.20606078973659045	0.20606078973659045	0.0
SEQ037	X	R	4.842439634312818e-09	4.842439634312818e-09	0.0
SEQ038	X	L	0.0	0.0	0.0
SEQ038	X	R	0.0	0.0	0.0
SEQ039	X	L	4.8424396336687945e-09	4.8424396336687945e-09	0.0
SEQ039	X	R	0.2083703150718791	0.2083703150718791	0.0
SEQ040	X	L	2.486455397025751e-07	2.486455397025751e-07	0.0
SEQ040	X	R	2.484133587080072e-07	2.484133587080072e-07	0.0
SEQ041	X	L	2.294670381779558	2.294670381779558	0.0
SEQ041	X	R	2.2720640451208376	2.2720640451208376	0.0
SEQ042	X	L	2.484147266993358e-07	2.484147266993358e-07	0.0
SEQ042	X	R	0.09333482674598663	0.09333482674598663	0.0
SEQ043	X	L	1.2005675289236255e-07	1.2005675289236255e-07	0.0
SEQ043	X	R	1.7509873093840727	1.7509873093840727	0.0
SEQ044	X	L	2.484321635709628e-07	2.484321635709628e-07	0.0
SEQ044	X	R	7.890359037363272e-09	7.890359037363272e-09	0.0
SEQ045	X	L	0.0	0.0	0.0
SEQ045	X	R	4.806730181209903e-09	4.806730181209903e-09	0.0
SEQ046	X	L	0.0	0.0	0.0
SEQ046	X	R	2.484718277167403e-07	2.484310493869982e-07	4.077832974210159e-11
SEQ047	X	L	1.3333893845895048	1.3333893845895048	0.0
SEQ047	X	R	0.0	0.0	0.0
SEQ048	X	L	4.9149580923380795e-09	4.9149580923380795e-09	0.0
SEQ048	X	R	1.363179149467468e-07	1.363179149467468e-07	0.0
SEQ049	X	L	2.2456794012153946e-06	2.2456794012153946e-06	0.0
SEQ049	X	R	2.4847844868362806e-07	2.4847844868362806e-07	0.0
SEQ050	X	L	0.9764217581805643	0.9764217581805643	0.0
SEQ050	X	R	0.0	0.0	0.0
SEQ051	X	L	4.72966074903524e-09	4.72966074903524e-09	0.0
SEQ051	X	R	1.0021497157775159	1.0021497157775159	0.0
SEQ052	X	L	2.4847638535564545e-07	2.4847638535564545e-07	0.0
SEQ052	X	R	2.4880797992299183e-07	2.487703474224208e-07	3.7632500571060756e-11
SEQ053	X	L	0.2155542889160089	0.2155542889160089	0.0
SEQ053	X	R	0.0	0.0	0.0
SEQ054	X	L	4.8205485158883436e-09	4.8205485158883436e-09	0.0
SEQ054	X	R	0.5078278307841605	0.5078278307841605	0.0
SEQ055	X	L	2.485948828999033e-07	2.4855529903367416e-07	3.95838662291515e-11
SEQ055	X	R	9.201647674727968e-09	9.201647674727968e-09	0.0
SEQ056	X	L	0.0	0.0	0.0
SEQ056	X	R	2.484499424784784e-07	2.484499424784784e-07	0.0
SEQ057	X	L	1.8033597012761018	1.8033597012761018	0.0
SEQ057	X	R	0.0	0.0	0.0
SEQ058	X	L	4.8040586709913525e-09	4.8040586709913525e-09	0.0
SEQ058	X	R	0.11290276771664454	0.11290276771664454	0.0
SEQ059	X	L	2.490572203676461e-07	2.4902246400277105e-07	3.475636487500834e-11
SEQ059	X	R	1.244737203327844	1.244737203327844	0.0
SEQ060	X	L	2.484329528933746e-07	2.484329528933746e-07	0.0
