walk_id	walk_cn	circular	length	node_count	edge_count
1	0.03	FALSE	56	56	55
2	0.01	FALSE	18	18	17
3	0.04	FALSE	17	17	16
4	0.18	FALSE	10	10	9
5	0.01	FALSE	9	9	8
6	0.44	FALSE	17	17	16
7	0.01	FALSE	15	15	14
8	0.01	FALSE	13	13	12
9	0.19	FALSE	15	15	14
10	0.16	FALSE	5	5	4
11	0.01	FALSE	7	7	6
12	0.08	FALSE	10	10	9
13	0.34	FALSE	7	7	6
14	0.45	FALSE	3	3	2
15	0.48	FALSE	4	4	3
16	0.04	TRUE	13	13	13
17	0.56	TRUE	15	15	15
18	0.03	FALSE	1	1	1
19	0.09	FALSE	12	12	11
20	0.59	FALSE	9	9	8
21	0.15	FALSE	8	8	7
22	0.19	FALSE	9	9	8
23	0.01	FALSE	5	5	4
24	0.16	FALSE	5	5	4
25	0.11	FALSE	2	2	1
26	0.09	FALSE	3	3	2
27	0.01	FALSE	2	2	1
28	0.08	FALSE	1	1	1
29	0.11	FALSE	3	3	2
30	0.23	FALSE	2	2	1
31	0.5	FALSE	1	1	1
32	0.34	FALSE	3	3	2
33	0.06	FALSE	2	2	1
34	0.03	FALSE	1	1	1
35	0.62	FALSE	1	1	1
36	0.08	FALSE	1	1	1
37	0.04	FALSE	1	1	1
38	0.69	TRUE	1	1	1
39	0.67	FALSE	2	2	1
40	0.01	FALSE	1	1	1
41	0.68	FALSE	1	1	1
