walk_id	walk_cn	circular	length	node_count	edge_count
1	0.02	FALSE	68	68	67
2	0.03	FALSE	46	46	45
3	0.04	FALSE	60	60	59
4	0.2	FALSE	32	32	31
5	0.06	FALSE	33	33	32
6	0.09	FALSE	29	29	28
7	0.06	FALSE	13	13	12
8	0.2	FALSE	8	8	7
9	0.05	FALSE	28	28	27
10	0.03	FALSE	16	16	15
11	0.09	FALSE	15	15	14
12	0.01	FALSE	25	25	24
13	0.17	FALSE	10	10	9
14	0.02	FALSE	13	13	12
15	0.25	FALSE	9	9	8
16	0.01	FALSE	4	4	3
17	0.38	FALSE	5	5	4
18	0.04	FALSE	7	7	6
19	0.02	FALSE	7	7	6
20	0.67	TRUE	6	6	6
21	0.33	TRUE	12	12	12
22	0.3	TRUE	14	14	14
23	0.03	FALSE	18	18	17
24	0.12	FALSE	10	10	9
25	0.07	FALSE	10	10	9
26	0.04	FALSE	7	7	6
27	0.11	TRUE	10	10	10
28	0.41	FALSE	8	8	7
29	0.15	TRUE	9	9	9
30	0.14	FALSE	4	4	3
31	0.08	FALSE	2	2	1
32	0.13	FALSE	3	3	2
33	0.01	FALSE	8	8	7
34	0.08	FALSE	1	1	1
35	0.22	FALSE	6	6	5
36	0.01	FALSE	3	3	2
37	0.02	FALSE	1	1	1
38	0.02	FALSE	1	1	1
39	0.35	FALSE	1	1	1
40	0.55	FALSE	6	6	5
41	0.02	FALSE	1	1	1
42	0.61	FALSE	1	1	1
43	0.04	FALSE	2	2	1
44	0.12	FALSE	4	4	3
45	0.77	TRUE	1	1	1
46	0.8	FALSE	2	2	1
47	0.67	FALSE	1	1	1
