segment_id	chrom	side	source_cn	generic_source_cn	reciprocal_source_cn
SEQ001	X	L	0.012665079998207955	0.012665079998207955	0.0
SEQ001	X	R	0.0	0.0	0.0
SEQ002	X	L	2.1768327197344073	2.1768327197344073	0.0
SEQ002	X	R	1.3631620439789396	1.3631620439789396	0.0
SEQ003	X	L	-1.1102230246251565e-16	-1.1102230246251565e-16	0.0
SEQ003	X	R	0.0	0.0	0.0
SEQ004	X	L	0.01627498472990308	0.0	0.01627498472990308
SEQ004	X	R	1.6274984729903092e-12	0.0	1.6274984729903092e-12
SEQ005	X	L	0.15179049916083265	0.15179049916083265	0.0
SEQ005	X	R	1.1102230246251565e-16	1.1102230246251565e-16	0.0
SEQ006	X	L	0.9944012396423273	1.1102230246251565e-16	0.9944012396423272
SEQ006	X	R	0.9944012396427836	1.1102230246251565e-16	0.9944012396427835
SEQ007	X	L	0.0	0.0	0.0
SEQ007	X	R	0.0	0.0	0.0
SEQ008	X	L	1.9022409516478502	0.0	1.9022409516478502
SEQ008	X	R	7.793765632868599e-14	7.793765632868599e-14	0.0
SEQ009	X	L	0.004994998638096802	4.994997471197138e-13	0.004994998637597302
SEQ009	X	R	0.0	0.0	0.0
SEQ010	X	L	1.691550357306776	1.691550357306776	0.0
SEQ010	X	R	0.0	0.0	0.0
SEQ011	X	L	0.5599753236422076	0.5599753236422076	0.0
SEQ011	X	R	0.0	0.0	0.0
SEQ012	X	L	2.2565206795870805	0.0	2.2565206795870805
SEQ012	X	R	0.08365348476618027	2.717825964282383e-13	0.08365348476590849
SEQ013	X	L	0.13028723902169037	0.0	0.13028723902169037
SEQ013	X	R	0.275834935721031	0.275834935721031	0.0
SEQ014	X	L	2.220446049250313e-16	2.220446049250313e-16	0.0
SEQ014	X	R	2.220446049250313e-16	2.220446049250313e-16	0.0
SEQ015	X	L	1.9806857438660497	2.220446049250313e-16	1.9806857438660495
SEQ015	X	R	2.220446049250313e-16	2.220446049250313e-16	0.0
SEQ016	X	L	0.9157336864181264	1.1102230246251565e-16	0.9157336864181262
SEQ016	X	R	1.1102230246251565e-16	1.1102230246251565e-16	0.0
SEQ017	X	L	0.19622254336038658	0.19622254336038658	0.0
SEQ017	X	R	0.0	0.0	0.0
SEQ018	X	L	0.24832033217325167	0.24832033217325167	0.0
SEQ018	X	R	0.2823192852982075	0.2823192852982075	0.0
SEQ019	X	L	0.0	0.0	0.0
SEQ019	X	R	0.0	0.0	0.0
SEQ020	X	L	0.23161891618871122	0.23161891618871122	0.0
SEQ020	X	R	0.0	0.0	0.0
SEQ021	X	L	0.9719431095608537	0.9719431095608537	0.0
SEQ021	X	R	1.0453859999870474e-12	1.0453859999870474e-12	0.0
SEQ022	X	L	1.980685743867095	0.0	1.980685743867095
SEQ022	X	R	0.9944012396423274	0.0	0.9944012396423274
SEQ023	X	L	0.0	0.0	0.0
SEQ023	X	R	2.3586451045946406	2.3586451045946406	0.0
SEQ024	X	L	0.0	0.0	0.0
SEQ024	X	R	0.0	0.0	0.0
SEQ025	X	L	1.007732643817923	6.418487963344433e-11	1.0077326437537382
SEQ025	X	R	0.0	0.0	0.0
SEQ026	X	L	2.8602120671905595e-14	2.8602120671905595e-14	0.0
SEQ026	X	R	0.0	0.0	0.0
SEQ027	X	L	1.2380156330081107	1.2380156330081107	0.0
SEQ027	X	R	1.3400622315635626	0.0	1.3400622315635626
SEQ028	X	L	0.0	0.0	0.0
SEQ028	X	R	1.340062231564462	0.0	1.340062231564462
SEQ029	X	L	0.0	0.0	0.0
SEQ029	X	R	0.0	0.0	0.0
SEQ030	X	L	1.1677245478713043	0.0	1.1677245478713043
SEQ030	X	R	1.2012613126444194e-13	1.2012613126444194e-13	0.0
SEQ031	X	L	0.010706271842429373	0.0	0.010706271842429373
SEQ031	X	R	0.0	0.0	0.0
SEQ032	X	L	6.146176074768749	6.146176074768749	0.0
SEQ032	X	R	0.0	0.0	0.0
SEQ033	X	L	4.256017573474231	4.256017573474231	0.0
SEQ033	X	R	0.0	0.0	0.0
SEQ034	X	L	7.498423089653555	7.498423089653555	0.0
SEQ034	X	R	0.0	0.0	0.0
SEQ035	X	L	12.89596967111304	12.89596967111304	0.0
SEQ035	X	R	29.695490590255314	29.695490590255314	0.0
SEQ036	X	L	0.0	0.0	0.0
SEQ036	X	R	0.0	0.0	0.0
SEQ037	X	L	0.20606054302731813	0.20606054302731813	0.0
SEQ037	X	R	1.3178626336250763	0.0	1.3178626336250763
SEQ038	X	L	0.0	0.0	0.0
SEQ038	X	R	0.0	0.0	0.0
