converged	False
iterations	100
global_scale	0.9220750117665818
fit_pixel_count	68684
holdout_pixel_count	17228
fit_supported_bins	964
excluded_bins	2083
q_min_observed	0.5
q_max_observed	1.99809235097067
row_ratio_cv	0.09720053024935052
holdout_supported_bins_before	958
holdout_supported_bins_after	958
holdout_row_ratio_cv_q1	0.33686073504821007
holdout_row_ratio_cv_fitted_q	0.22953064553306182
q_at_lower_bound_fraction	0.03112033195020747
q_at_upper_bound_fraction	0.0
corr_log_q_cn	0.005520591772872942
corr_pc1_q_signed	-0.25908483815711036
corr_pc1_q_abs	0.25908483815711036
