bin	continuous	ab	sub	signed_continuous
0				
1				
2				
3				
4				
5				
6				
7				
8				
9				
10				
11				
12				
13				
14				
15				
16				
17				
18				
19				
20				
21				
22				
23				
24				
25				
26				
27				
28				
29				
30				
31				
32				
33				
34				
35				
36				
37				
38				
39				
40				
41				
42				
43				
44				
45				
46				
47				
48				
49				
50				
51				
52				
53				
54				
55	0.790393013100437	A	A.1	0.790393013100437
56	0.790393013100437	A	A.1	0.790393013100437
57	0.790393013100437	A	A.1	0.790393013100437
58	0.790393013100437	A	A.1	0.790393013100437
59	0.700873362445415	A	A.1	0.700873362445415
60	0.700873362445415	A	A.1	0.700873362445415
61	0.700873362445415	A	A.1	0.700873362445415
62	0.700873362445415	A	A.1	0.700873362445415
63	0.716157205240175	A	A.1	0.716157205240175
64	0.716157205240175	A	A.1	0.716157205240175
65	0.716157205240175	A	A.1	0.716157205240175
66	0.716157205240175	A	A.1	0.716157205240175
67	0.716157205240175	A	A.1	0.716157205240175
68	0.716157205240175	A	A.1	0.716157205240175
69	0.707423580786026	A	A.1	0.707423580786026
70	0.707423580786026	A	A.1	0.707423580786026
71	0.707423580786026	A	A.1	0.707423580786026
72	0.707423580786026	A	A.1	0.707423580786026
73	0.707423580786026	A	A.1	0.707423580786026
74	0.707423580786026	A	A.1	0.707423580786026
75	0.707423580786026	A	A.1	0.707423580786026
76	0.707423580786026	A	A.1	0.707423580786026
77				
78				
79	0.8995633187772929	A	A.1	0.8995633187772929
80	0.8995633187772929	A	A.1	0.8995633187772929
81	0.8995633187772929	A	A.1	0.8995633187772929
82				
83	0.8995633187772929	A	A.1	0.8995633187772929
84	0.877729257641921	A	A.1	0.877729257641921
85	0.877729257641921	A	A.1	0.877729257641921
86	0.877729257641921	A	A.1	0.877729257641921
87	0.877729257641921	A	A.1	0.877729257641921
88	0.877729257641921	A	A.1	0.877729257641921
89	0.877729257641921	A	A.1	0.877729257641921
90	0.877729257641921	A	A.1	0.877729257641921
91	0.877729257641921	A	A.1	0.877729257641921
92	0.877729257641921	A	A.1	0.877729257641921
93	0.9978165938864632	A	A.1	0.9978165938864632
94	0.9978165938864632	A	A.1	0.9978165938864632
95	0.9978165938864632	A	A.1	0.9978165938864632
96	0.9978165938864632	A	A.1	0.9978165938864632
97	0.8275109170305679	A	A.1	0.8275109170305679
98	0.8275109170305679	A	A.1	0.8275109170305679
99	0.890829694323144	A	A.1	0.890829694323144
100	0.890829694323144	A	A.1	0.890829694323144
101				
102				
103				
104	0.890829694323144	A	A.1	0.890829694323144
105	0.890829694323144	A	A.1	0.890829694323144
106	0.890829694323144	A	A.1	0.890829694323144
107	0.884279475982533	A	A.1	0.884279475982533
108	0.884279475982533	A	A.1	0.884279475982533
109	0.884279475982533	A	A.1	0.884279475982533
110				
111				
112				
113	0.884279475982533	A	A.1	0.884279475982533
