walk_id	walk_cn	order	edge_id	type	label	edge_cn
1	0.02	1	571	REF	REF00571	1.3
1	0.02	2	572	REF	REF00572	1.3
1	0.02	3	573	REF	REF00573	1.3
1	0.02	4	574	REF	REF00574	1.3
1	0.02	5	575	REF	REF00575	1.3
1	0.02	6	576	REF	REF00576	1.3
1	0.02	7	577	REF	REF00577	1.3
1	0.02	8	578	REF	REF00578	1.3
1	0.02	9	579	REF	REF00579	1.3
1	0.02	10	580	REF	REF00580	1.3
1	0.02	11	581	REF	REF00581	1.3
1	0.02	12	582	REF	REF00582	1.3
1	0.02	13	583	REF	REF00583	1.3
1	0.02	14	584	REF	REF00584	1.3
1	0.02	15	585	REF	REF00585	1.3
1	0.02	16	586	REF	REF00586	1.3
1	0.02	17	587	REF	REF00587	1.3
1	0.02	18	588	REF	REF00588	1.3
1	0.02	19	589	REF	REF00589	1.3
1	0.02	20	590	REF	REF00590	1.3
1	0.02	21	591	REF	REF00591	1.3
1	0.02	22	592	REF	REF00592	1.3
1	0.02	23	593	REF	REF00593	1.3
1	0.02	24	594	REF	REF00594	1.3
1	0.02	25	595	REF	REF00595	1.3
1	0.02	26	596	REF	REF00596	1.3
1	0.02	27	597	REF	REF00597	1.3
1	0.02	28	598	REF	REF00598	1.3
1	0.02	29	599	REF	REF00599	1.3
1	0.02	30	600	REF	REF00600	1.3
1	0.02	31	601	REF	REF00601	1.3
1	0.02	32	602	REF	REF00602	1.3
1	0.02	33	603	REF	REF00603	1.3
1	0.02	34	604	REF	REF00604	1.3
1	0.02	35	605	REF	REF00605	1.3
1	0.02	36	606	REF	REF00606	1.3
1	0.02	37	607	REF	REF00607	1.3
1	0.02	38	608	REF	REF00608	1.3
1	0.02	39	609	REF	REF00609	1.3
1	0.02	40	610	REF	REF00610	1.3
1	0.02	41	611	REF	REF00611	1.3
1	0.02	42	612	REF	REF00612	1.3
1	0.02	43	613	REF	REF00613	1.3
1	0.02	44	614	REF	REF00614	1.3
1	0.02	45	615	REF	REF00615	1.3
1	0.02	46	616	REF	REF00616	1.3
1	0.02	47	617	REF	REF00617	1.3
2	0.78	1	148	REF	REF00148	0
2	0.78	2	149	REF	REF00149	0
2	0.78	3	150	REF	REF00150	0
2	0.78	4	151	REF	REF00151	0
2	0.78	5	152	REF	REF00152	0
2	0.78	6	153	REF	REF00153	0
2	0.78	7	154	REF	REF00154	0
2	0.78	8	155	REF	REF00155	0
2	0.78	9	156	REF	REF00156	0
2	0.78	10	157	REF	REF00157	0
2	0.78	11	158	REF	REF00158	0
2	0.78	12	159	REF	REF00159	0
2	0.78	13	160	REF	REF00160	0
2	0.78	14	161	REF	REF00161	0
2	0.78	15	162	REF	REF00162	0
2	0.78	16	163	REF	REF00163	0
2	0.78	17	164	REF	REF00164	0
3	0.03	1	289	REF	REF00289	0.52
3	0.03	2	288	REF	REF00288	0.52
3	0.03	3	287	REF	REF00287	0.52
3	0.03	4	286	REF	REF00286	0.52
3	0.03	5	285	REF	REF00285	0.52
3	0.03	6	284	REF	REF00284	0.01
3	0.03	7	283	REF	REF00283	0.01
3	0.03	8	282	REF	REF00282	0.01
3	0.03	9	281	REF	REF00281	0.01
3	0.03	10	280	REF	REF00280	0.01
3	0.03	11	279	REF	REF00279	0.01
3	0.03	12	278	REF	REF00278	0.01
3	0.03	13	277	REF	REF00277	0.01
3	0.03	14	276	REF	REF00276	0.01
3	0.03	15	275	REF	REF00275	0.01
3	0.03	16	274	REF	REF00274	0.01
3	0.03	17	273	REF	REF00273	0.01
3	0.03	18	272	REF	REF00272	0.01
3	0.03	19	271	REF	REF00271	0.01
3	0.03	20	270	REF	REF00270	0.01
3	0.03	21	269	REF	REF00269	0.01
3	0.03	22	268	REF	REF00268	0.01
3	0.03	23	267	REF	REF00267	0.01
3	0.03	24	266	REF	REF00266	0.01
3	0.03	25	265	REF	REF00265	0.01
3	0.03	26	264	REF	REF00264	0.01
3	0.03	27	263	REF	REF00263	0.01
3	0.03	28	262	REF	REF00262	0.01
3	0.03	29	261	REF	REF00261	0.01
3	0.03	30	260	REF	REF00260	0.01
3	0.03	31	259	REF	REF00259	0.01
3	0.03	32	258	REF	REF00258	0.01
3	0.03	33	257	REF	REF00257	0.01
3	0.03	34	256	REF	REF00256	0.01
3	0.03	35	255	REF	REF00255	0.01
3	0.03	36	254	REF	REF00254	0.01
3	0.03	37	253	REF	REF00253	0.01
3	0.03	38	252	REF	REF00252	0.01
3	0.03	39	251	REF	REF00251	0.01
3	0.03	40	250	REF	REF00250	0.01
3	0.03	41	249	REF	REF00249	0.01
3	0.03	42	248	REF	REF00248	0.01
3	0.03	43	247	REF	REF00247	0.01
3	0.03	44	246	REF	REF00246	0
3	0.03	45	245	REF	REF00245	0
3	0.03	46	244	REF	REF00244	0
3	0.03	47	243	REF	REF00243	0
3	0.03	48	242	REF	REF00242	0
4	0.11	1	168	REF	REF00168	2.46
4	0.11	2	169	REF	REF00169	2.46
4	0.11	3	170	REF	REF00170	2.46
4	0.11	4	171	REF	REF00171	2.46
4	0.11	5	172	REF	REF00172	2.46
4	0.11	6	173	REF	REF00173	2.46
4	0.11	7	174	REF	REF00174	2.46
4	0.11	8	175	REF	REF00175	2.46
4	0.11	9	176	REF	REF00176	2.46
4	0.11	10	177	REF	REF00177	2.46
4	0.11	11	178	REF	REF00178	2.46
4	0.11	12	179	REF	REF00179	2.46
4	0.11	13	180	REF	REF00180	2.46
4	0.11	14	181	REF	REF00181	2.46
4	0.11	15	182	REF	REF00182	2.46
4	0.11	16	183	REF	REF00183	2.46
4	0.11	17	184	REF	REF00184	2.46
4	0.11	18	185	REF	REF00185	2.46
4	0.11	19	186	REF	REF00186	2.46
4	0.11	20	187	REF	REF00187	2.46
4	0.11	21	188	REF	REF00188	2.46
5	0.37	1	736	REF	REF00736	0.01
5	0.37	2	737	REF	REF00737	0.01
5	0.37	3	738	REF	REF00738	0.01
5	0.37	4	739	REF	REF00739	0.01
5	0.37	5	740	REF	REF00740	0.01
5	0.37	6	741	REF	REF00741	0.01
5	0.37	7	742	REF	REF00742	0.01
5	0.37	8	743	REF	REF00743	0.01
5	0.37	9	744	REF	REF00744	0.01
5	0.37	10	745	REF	REF00745	0.01
5	0.37	11	746	REF	REF00746	0.01
5	0.37	12	747	REF	REF00747	0.01
5	0.37	13	748	REF	REF00748	0.01
5	0.37	14	749	REF	REF00749	0.01
5	0.37	15	750	REF	REF00750	0.01
5	0.37	16	751	REF	REF00751	0
5	0.37	17	752	REF	REF00752	0
5	0.37	18	753	REF	REF00753	0
5	0.37	19	754	REF	REF00754	0
5	0.37	20	755	REF	REF00755	0
5	0.37	21	756	REF	REF00756	0
5	0.37	22	757	REF	REF00757	0
5	0.37	23	758	REF	REF00758	0
5	0.37	24	759	REF	REF00759	0
6	0.1	1	480	REF	REF00480	2.08
6	0.1	2	481	REF	REF00481	2.08
6	0.1	3	482	REF	REF00482	2.08
6	0.1	4	483	REF	REF00483	2.08
6	0.1	5	484	REF	REF00484	2.08
6	0.1	6	485	REF	REF00485	2.08
6	0.1	7	486	REF	REF00486	2.08
6	0.1	8	487	REF	REF00487	2.08
6	0.1	9	488	REF	REF00488	2.08
6	0.1	10	489	REF	REF00489	2.08
6	0.1	11	490	REF	REF00490	2.08
6	0.1	12	491	REF	REF00491	2.08
6	0.1	13	492	REF	REF00492	2.08
6	0.1	14	493	REF	REF00493	2.08
6	0.1	15	494	REF	REF00494	2.08
6	0.1	16	495	REF	REF00495	2.08
6	0.1	17	496	REF	REF00496	2.08
6	0.1	18	497	REF	REF00497	2.08
6	0.1	19	498	REF	REF00498	2.08
6	0.1	20	499	REF	REF00499	2.08
6	0.1	21	500	REF	REF00500	2.09
6	0.1	22	501	REF	REF00501	2.09
6	0.1	23	502	REF	REF00502	2.09
6	0.1	24	503	REF	REF00503	2.09
6	0.1	25	504	REF	REF00504	2.09
6	0.1	26	505	REF	REF00505	2.09
6	0.1	27	506	REF	REF00506	2.09
6	0.1	28	507	REF	REF00507	2.09
7	0.47	1	651	REF	REF00651	2.16
7	0.47	2	652	REF	REF00652	2.16
7	0.47	3	653	REF	REF00653	2.16
7	0.47	4	654	REF	REF00654	2.16
7	0.47	5	655	REF	REF00655	2.16
7	0.47	6	656	REF	REF00656	2.16
7	0.47	7	657	REF	REF00657	2.16
7	0.47	8	658	REF	REF00658	2.16
7	0.47	9	659	REF	REF00659	2.16
7	0.47	10	660	REF	REF00660	2.16
7	0.47	11	661	REF	REF00661	2.16
7	0.47	12	662	REF	REF00662	2.16
7	0.47	13	663	REF	REF00663	2.16
7	0.47	14	664	REF	REF00664	2.16
7	0.47	15	665	REF	REF00665	2.16
7	0.47	16	666	REF	REF00666	2.16
7	0.47	17	667	REF	REF00667	2.16
7	0.47	18	668	REF	REF00668	2.16
8	0.43	1	679	REF	REF00679	0
8	0.43	2	680	REF	REF00680	0
8	0.43	3	681	REF	REF00681	0
8	0.43	4	682	REF	REF00682	0
8	0.43	5	683	REF	REF00683	0
8	0.43	6	684	REF	REF00684	0
8	0.43	7	685	REF	REF00685	0
8	0.43	8	686	REF	REF00686	0
8	0.43	9	687	REF	REF00687	0
8	0.43	10	688	REF	REF00688	0
8	0.43	11	689	REF	REF00689	0
8	0.43	12	690	REF	REF00690	0
8	0.43	13	691	REF	REF00691	0
8	0.43	14	692	REF	REF00692	0
8	0.43	15	693	REF	REF00693	0
8	0.43	16	694	REF	REF00694	0
8	0.43	17	695	REF	REF00695	0
8	0.43	18	696	REF	REF00696	0
8	0.43	19	697	REF	REF00697	0
