walk_id	walk_cn	circular	length	node_count	edge_count
1	0.02	FALSE	48	48	47
2	0.78	FALSE	18	18	17
3	0.03	FALSE	49	49	48
4	0.11	FALSE	22	22	21
5	0.37	FALSE	25	25	24
6	0.1	FALSE	29	29	28
7	0.47	FALSE	19	19	18
8	0.43	FALSE	20	20	19
9	0.09	FALSE	9	9	8
10	0.04	FALSE	24	24	23
11	0.32	FALSE	13	13	12
12	0.23	FALSE	17	17	16
13	0.28	FALSE	7	7	6
14	0.45	FALSE	0	1	0
15	0.06	FALSE	46	46	45
16	0.56	FALSE	10	10	9
17	0.09	FALSE	43	43	42
18	0.25	FALSE	16	16	15
19	0.11	FALSE	21	21	20
20	0.14	FALSE	47	47	46
21	0.07	FALSE	36	36	35
22	0.02	FALSE	18	18	17
23	0.51	FALSE	21	21	20
24	0.04	FALSE	23	23	22
25	0.11	FALSE	14	14	13
26	0.01	FALSE	8	8	7
27	0.2	FALSE	15	15	14
28	0.13	FALSE	18	18	17
29	0.93	FALSE	0	1	0
30	0.41	FALSE	0	1	0
31	0.26	FALSE	26	26	25
32	1.2	FALSE	23	23	22
33	0.6	FALSE	15	15	14
34	0.37	FALSE	4	4	3
35	0.14	FALSE	23	23	22
36	0.43	FALSE	18	18	17
37	0.11	FALSE	11	11	10
38	0.02	FALSE	15	15	14
39	0.51	FALSE	18	18	17
40	0.12	FALSE	11	11	10
41	0.13	FALSE	17	17	16
42	0.35	FALSE	19	19	18
43	0.06	FALSE	16	16	15
44	0.31	FALSE	16	16	15
45	0.01	FALSE	22	22	21
46	1.4	FALSE	24	24	23
47	0.2	FALSE	11	11	10
48	0.01	FALSE	22	22	21
49	0.01	FALSE	11	11	10
50	0.04	FALSE	14	14	13
51	0.08	FALSE	9	9	8
52	0.47	FALSE	11	11	10
53	1.15	FALSE	2	2	1
54	0.52	FALSE	5	5	4
55	0.69	FALSE	0	1	0
56	0.45	FALSE	0	1	0
57	0.12	FALSE	0	1	0
58	0.58	FALSE	21	21	20
59	0.07	FALSE	30	30	29
60	1.09	FALSE	11	11	10
61	0.34	FALSE	14	14	13
62	0.03	FALSE	22	22	21
63	0.36	FALSE	23	23	22
64	0.19	FALSE	14	14	13
65	0.47	FALSE	35	35	34
66	0.01	FALSE	20	20	19
67	0.01	FALSE	10	10	9
68	0.4	FALSE	25	25	24
69	0.02	FALSE	10	10	9
70	0.2	FALSE	24	24	23
71	0.59	FALSE	20	20	19
72	0.1	FALSE	9	9	8
73	0.06	FALSE	12	12	11
74	0.23	FALSE	14	14	13
75	0.01	FALSE	21	21	20
76	0.02	FALSE	15	15	14
77	1.02	FALSE	26	26	25
78	0.09	FALSE	21	21	20
79	0.02	FALSE	11	11	10
80	0.08	FALSE	13	13	12
81	0.46	FALSE	13	13	12
82	0.39	FALSE	13	13	12
83	0.35	FALSE	0	1	0
84	0.13	FALSE	0	1	0
85	2.41	FALSE	0	1	0
86	0.98	FALSE	0	1	0
87	0.71	FALSE	0	1	0
88	0.32	FALSE	0	1	0
89	0.02	FALSE	20	20	19
90	1.14	FALSE	16	16	15
91	0.01	FALSE	4	4	3
92	0.15	FALSE	12	12	11
93	0.52	FALSE	9	9	8
94	0.11	FALSE	16	16	15
95	0.12	FALSE	13	13	12
96	0.02	FALSE	22	22	21
97	0.02	FALSE	21	21	20
98	0.13	FALSE	11	11	10
99	0.89	FALSE	28	28	27
100	0.14	FALSE	23	23	22
101	0.03	FALSE	16	16	15
102	0.13	FALSE	21	21	20
103	1.65	FALSE	23	23	22
104	0.65	FALSE	15	15	14
105	0.42	FALSE	13	13	12
106	0.13	FALSE	15	15	14
107	0.15	FALSE	9	9	8
108	0.04	FALSE	19	19	18
109	0.23	FALSE	28	28	27
110	0.16	FALSE	18	18	17
111	0.06	FALSE	10	10	9
112	0.15	FALSE	5	5	4
113	0.47	FALSE	15	15	14
114	0.13	FALSE	4	4	3
115	0.01	FALSE	7	7	6
116	0.94	FALSE	6	6	5
117	0.5	FALSE	6	6	5
118	0.06	FALSE	4	4	3
119	0.86	FALSE	0	1	0
120	0.15	FALSE	0	1	0
121	0.73	FALSE	2	2	1
122	1.32	FALSE	18	18	17
123	0.94	FALSE	10	10	9
124	0.08	FALSE	11	11	10
125	0.02	FALSE	5	5	4
126	0.2	FALSE	8	8	7
127	0.26	FALSE	16	16	15
128	0.29	FALSE	10	10	9
129	0.08	FALSE	17	17	16
130	0.54	FALSE	22	22	21
131	0.23	FALSE	10	10	9
132	0.17	FALSE	11	11	10
133	0.66	FALSE	16	16	15
134	0.16	FALSE	16	16	15
135	0.18	FALSE	17	17	16
136	0.1	FALSE	12	12	11
137	0.06	FALSE	19	19	18
138	0.14	FALSE	14	14	13
139	0.73	FALSE	8	8	7
140	0.71	FALSE	11	11	10
141	0.41	FALSE	15	15	14
142	0.15	FALSE	14	14	13
143	0.6	FALSE	27	27	26
144	0.02	FALSE	11	11	10
145	0.67	FALSE	10	10	9
