walk_id	walk_cn	circular	length	node_count	edge_count
1	1.64	FALSE	0	1	0
2	0.58	FALSE	0	1	0
3	2.27	FALSE	0	1	0
4	0.28	FALSE	0	1	0
5	0.05	FALSE	0	1	0
6	0.28	FALSE	0	1	0
7	1.1	FALSE	0	1	0
8	0.06	FALSE	0	1	0
9	0.02	FALSE	0	1	0
10	0.11	FALSE	0	1	0
11	0.08	FALSE	0	1	0
12	0.1	FALSE	0	1	0
13	0.1	FALSE	0	1	0
14	0.12	FALSE	0	1	0
15	1.63	FALSE	0	1	0
16	6.49	FALSE	0	1	0
17	0.13	FALSE	0	1	0
18	0.01	FALSE	170	170	169
19	0.01	FALSE	1651	1651	1650
20	0.16	FALSE	12	12	11
21	0.2	FALSE	14	14	13
22	0.02	FALSE	7	7	6
23	0.37	FALSE	6	6	5
24	0.09	FALSE	6	6	5
25	0.02	FALSE	21	21	20
26	0.02	FALSE	6	6	5
27	0.13	FALSE	5	5	4
28	0.26	FALSE	6	6	5
29	0.13	FALSE	5	5	4
30	0.31	FALSE	4	4	3
31	0.15	FALSE	7	7	6
32	0.15	FALSE	3	3	2
33	0.55	FALSE	33	33	32
34	0.01	FALSE	30	30	29
35	0.39	FALSE	14	14	13
36	0.17	FALSE	7	7	6
37	0.57	FALSE	7	7	6
38	0.44	FALSE	9	9	8
39	0.01	FALSE	2	2	1
40	0.01	FALSE	10	10	9
41	0.98	FALSE	4	4	3
42	0.19	FALSE	6	6	5
43	0.37	FALSE	8	8	7
44	0.23	FALSE	6	6	5
45	0.22	FALSE	7	7	6
46	0.57	FALSE	4	4	3
47	0.44	FALSE	5	5	4
48	0.11	FALSE	5	5	4
49	0.79	FALSE	5	5	4
50	0.87	FALSE	2	2	1
51	0.52	FALSE	2	2	1
52	0.07	FALSE	2	2	1
53	0.01	FALSE	2	2	1
54	0.05	FALSE	2	2	1
55	0.01	FALSE	2	2	1
56	0.29	FALSE	6	6	5
57	0.82	FALSE	4	4	3
58	0.36	FALSE	18	18	17
59	0.02	FALSE	2	2	1
60	0.09	FALSE	12	12	11
61	0.16	FALSE	10	10	9
62	0.02	FALSE	5	5	4
63	1.1	FALSE	2	2	1
64	0.23	FALSE	6	6	5
65	0.09	FALSE	4	4	3
66	0.2	FALSE	9	9	8
67	0.09	FALSE	2	2	1
68	0.06	FALSE	6	6	5
69	0.21	FALSE	5	5	4
70	0.01	FALSE	6	6	5
71	0.1	FALSE	2	2	1
72	1.24	FALSE	3	3	2
73	0.2	FALSE	2	2	1
74	0.39	FALSE	4	4	3
75	0.15	FALSE	2	2	1
76	0.98	FALSE	3	3	2
77	0.07	FALSE	2	2	1
78	0.29	FALSE	2	2	1
79	0.91	FALSE	2	2	1
80	2.74	TRUE	2	1	1
81	7.61	TRUE	2	1	1
