walk_id	walk_cn	order	edge_id	type	label	edge_cn
7	0.01	1	66	REF	REF066	0.94
7	0.01	2	65	REF	REF065	0.85
7	0.01	3	64	REF	REF064	1.83
7	0.01	4	63	REF	REF063	2.01
7	0.01	5	62	REF	REF062	2.01
7	0.01	6	72	ALT	SV05	0.56
7	0.01	7	53	REF	REF053	3.24
7	0.01	8	52	REF	REF052	2.02
7	0.01	9	51	REF	REF051	2.02
7	0.01	10	50	REF	REF050	3.02
7	0.01	11	49	REF	REF049	2.04
7	0.01	12	48	REF	REF048	2.04
7	0.01	13	47	REF	REF047	3.65
7	0.01	14	69	ALT	SV02	0.98
7	0.01	15	64	REF	REF064	1.83
7	0.01	16	63	REF	REF063	2.01
7	0.01	17	62	REF	REF062	2.01
7	0.01	18	72	ALT	SV05	0.56
7	0.01	19	53	REF	REF053	3.24
7	0.01	20	52	REF	REF052	2.02
7	0.01	21	51	REF	REF051	2.02
7	0.01	22	50	REF	REF050	3.02
7	0.01	23	49	REF	REF049	2.04
7	0.01	24	48	REF	REF048	2.04
7	0.01	25	47	REF	REF047	3.65
7	0.01	26	69	ALT	SV02	0.98
7	0.01	27	64	REF	REF064	1.83
7	0.01	28	63	REF	REF063	2.01
7	0.01	29	62	REF	REF062	2.01
7	0.01	30	72	ALT	SV05	0.56
7	0.01	31	53	REF	REF053	3.24
7	0.01	32	52	REF	REF052	2.02
7	0.01	33	51	REF	REF051	2.02
7	0.01	34	50	REF	REF050	3.02
7	0.01	35	49	REF	REF049	2.04
7	0.01	36	48	REF	REF048	2.04
7	0.01	37	47	REF	REF047	3.65
7	0.01	38	69	ALT	SV02	0.98
7	0.01	39	64	REF	REF064	1.83
7	0.01	40	63	REF	REF063	2.01
7	0.01	41	62	REF	REF062	2.01
7	0.01	42	72	ALT	SV05	0.56
7	0.01	43	53	REF	REF053	3.24
7	0.01	44	52	REF	REF052	2.02
7	0.01	45	51	REF	REF051	2.02
7	0.01	46	50	REF	REF050	3.02
7	0.01	47	49	REF	REF049	2.04
7	0.01	48	48	REF	REF048	2.04
7	0.01	49	47	REF	REF047	3.65
7	0.01	50	69	ALT	SV02	0.98
7	0.01	51	64	REF	REF064	1.83
7	0.01	52	63	REF	REF063	2.01
7	0.01	53	62	REF	REF062	2.01
7	0.01	54	72	ALT	SV05	0.56
7	0.01	55	53	REF	REF053	3.24
7	0.01	56	52	REF	REF052	2.02
7	0.01	57	51	REF	REF051	2.02
7	0.01	58	50	REF	REF050	3.02
7	0.01	59	49	REF	REF049	2.04
7	0.01	60	48	REF	REF048	2.04
7	0.01	61	47	REF	REF047	3.65
7	0.01	62	69	ALT	SV02	0.98
7	0.01	63	64	REF	REF064	1.83
7	0.01	64	63	REF	REF063	2.01
7	0.01	65	62	REF	REF062	2.01
7	0.01	66	72	ALT	SV05	0.56
7	0.01	67	53	REF	REF053	3.24
7	0.01	68	52	REF	REF052	2.02
7	0.01	69	51	REF	REF051	2.02
7	0.01	70	50	REF	REF050	3.02
7	0.01	71	49	REF	REF049	2.04
7	0.01	72	48	REF	REF048	2.04
7	0.01	73	47	REF	REF047	3.65
7	0.01	74	69	ALT	SV02	0.98
7	0.01	75	64	REF	REF064	1.83
7	0.01	76	63	REF	REF063	2.01
7	0.01	77	62	REF	REF062	2.01
7	0.01	78	72	ALT	SV05	0.56
7	0.01	79	53	REF	REF053	3.24
7	0.01	80	52	REF	REF052	2.02
7	0.01	81	51	REF	REF051	2.02
7	0.01	82	50	REF	REF050	3.02
7	0.01	83	49	REF	REF049	2.04
7	0.01	84	48	REF	REF048	2.04
