edge_id	chrom	boundary	reference_cn
REF001	chrX	350000	0.0020000059398117102
REF002	chrX	2750000	0.0018082032971335
REF003	chrX	3700000	0.5802514524970521
REF004	chrX	7250000	0.6978408707172458
REF005	chrX	7660000	0.6978408707172458
REF006	chrX	7785000	0.6978408707172458
REF007	chrX	7935000	0.6978408707172458
REF008	chrX	8725000	0.6978408707172458
REF009	chrX	10150000	0.6978408707172458
REF010	chrX	10925000	0.69728342705834
REF011	chrX	11250000	0.7200449147930688
REF012	chrX	11260000	0.7597092366286806
REF013	chrX	11275000	1.4339492843760053
REF014	chrX	24460000	1.4339492843760053
REF015	chrX	24465000	1.4339492843760053
REF016	chrX	38300000	0.6718633183646715
REF017	chrX	40550000	0.671863471629617
REF018	chrX	48025000	0.548099146112458
REF019	chrX	50525000	0.5571832048039036
REF020	chrX	50530000	0.783741610556954
REF021	chrX	51930000	0.7837303149719057
REF022	chrX	51955000	0.783741610556954
REF023	chrX	52200000	0.783741610556954
REF024	chrX	52670000	0.11447347191840113
REF025	chrX	53675000	0.7837314281042707
REF026	chrX	53680000	0.783741610556954
REF027	chrX	53705000	0.783741610556954
REF028	chrX	54020000	0.6611003419658686
REF029	chrX	55000000	0.6969755731167796
REF030	chrX	55605000	0.048834385813052925
REF031	chrX	62400000	0.05651665927231614
REF032	chrX	70965000	0.6951036376317878
REF033	chrX	71180000	0.6951036376317878
REF034	chrX	89250000	0.6936593963498979
REF035	chrX	92850000	0.7264774707815578
REF036	chrX	102175000	0.7264774892099992
REF037	chrX	102450000	0.7264774892099992
REF038	chrX	118010000	0.5256125104927769
REF039	chrX	118250000	1.2589055079217706
REF040	chrX	119050000	1.2589025929112427
REF041	chrX	119140000	1.251954898034091
REF042	chrX	122740000	0.9824177741222749
REF043	chrX	126145000	1.1013432488357409
REF044	chrX	130050000	2.053940657670214
REF045	chrX	130100000	1.2614390936596127
REF046	chrX	131265000	1.4974540440594615
REF047	chrX	131960000	1.118722132961764
REF048	chrX	137220000	0.7113149485106894
REF049	chrX	142005000	0.6269001820266659
REF050	chrX	142025000	1.3753006156976986
REF051	chrX	143065000	0.9567806921128763
REF052	chrX	144680000	1.1652670791447244
REF053	chrX	146505000	0.5677782831006049
REF054	chrX	154065000	0.6980101885059972
REF055	chrX	154300000	0.6980101885059972
