walk_id	walk_cn	order	edge_id	type	label	edge_cn
1	0.23	1	5	REF	REF005	0.3
1	0.23	2	6	REF	REF006	0.3
1	0.23	3	7	REF	REF007	0.3
1	0.23	4	8	REF	REF008	0.3
1	0.23	5	9	REF	REF009	0.04
1	0.23	6	10	REF	REF010	0.04
1	0.23	7	11	REF	REF011	0.04
1	0.23	8	12	REF	REF012	0.04
1	0.23	9	13	REF	REF013	0.04
1	0.23	10	14	REF	REF014	0.04
1	0.23	11	15	REF	REF015	0.04
1	0.23	12	16	REF	REF016	0.04
1	0.23	13	17	REF	REF017	0.04
1	0.23	14	18	REF	REF018	0.04
1	0.23	15	19	REF	REF019	0
1	0.23	16	20	REF	REF020	0
1	0.23	17	21	REF	REF021	0
1	0.23	18	22	REF	REF022	0
1	0.23	19	23	REF	REF023	0
2	0.24	1	5	REF	REF005	0.3
2	0.24	2	6	REF	REF006	0.3
2	0.24	3	7	REF	REF007	0.3
2	0.24	4	8	REF	REF008	0.3
2	0.24	5	9	REF	REF009	0.04
2	0.24	6	10	REF	REF010	0.04
2	0.24	7	11	REF	REF011	0.04
2	0.24	8	12	REF	REF012	0.04
2	0.24	9	13	REF	REF013	0.04
2	0.24	10	14	REF	REF014	0.04
2	0.24	11	15	REF	REF015	0.04
2	0.24	12	16	REF	REF016	0.04
2	0.24	13	17	REF	REF017	0.04
2	0.24	14	18	REF	REF018	0.04
2	0.24	15	19	REF	REF019	0
2	0.24	16	20	REF	REF020	0
2	0.24	17	21	REF	REF021	0
2	0.24	18	22	REF	REF022	0
3	0.02	1	5	REF	REF005	0.3
3	0.02	2	6	REF	REF006	0.3
3	0.02	3	7	REF	REF007	0.3
3	0.02	4	8	REF	REF008	0.3
3	0.02	5	9	REF	REF009	0.04
3	0.02	6	10	REF	REF010	0.04
3	0.02	7	11	REF	REF011	0.04
3	0.02	8	12	REF	REF012	0.04
3	0.02	9	13	REF	REF013	0.04
3	0.02	10	14	REF	REF014	0.04
3	0.02	11	15	REF	REF015	0.04
3	0.02	12	16	REF	REF016	0.04
3	0.02	13	17	REF	REF017	0.04
