edge_id	chrom	boundary	reference_cn
REF00001	chr1	600000	1.216175979097276
REF00002	chr1	3900000	1.0966240357419221
REF00003	chr1	5900000	1.0966240357419221
REF00004	chr1	38300000	1.4118129894120364
REF00005	chr1	120650000	2.8022195629270477
REF00006	chr1	121550000	0.9622809009538741
REF00007	chr1	122500000	0.9622809009538741
REF00008	chr1	124750000	1.7661354602152441
REF00009	chr1	125050000	1.7661354602152441
REF00010	chr1	125150000	0.015071637695415415
REF00011	chr1	143150000	0.015071637695415415
REF00012	chr1	146300000	2.0449907251734833
REF00013	chr1	149350000	2.0449907251734833
REF00014	chr1	157150000	2.0449907251734833
REF00015	chr1	159800000	2.0449907251734833
REF00016	chr1	193000000	2.0449907251734833
REF00017	chr1	193500000	2.0449907251734833
REF00018	chr1	242500000	2.0449907251734833
REF00019	chr1	242550000	2.0449907251734833
REF00020	chr10	21550000	1.349268061904915
REF00021	chr10	35550000	1.3347383899870282
REF00022	chr10	37750000	1.3347383899870282
REF00023	chr10	37800000	1.3347383899870282
REF00024	chr10	38450000	1.7323975053010539
REF00025	chr10	38550000	1.7323975053010539
REF00026	chr10	39400000	1.7323975053010539
REF00027	chr10	39500000	2.0992930890796586
REF00028	chr10	45700000	2.0992930890796586
REF00029	chr10	48200000	2.0901608929868325
REF00030	chr10	104600000	1.7022642378073927
REF00031	chr10	106000000	1.7022642378073927
REF00032	chr10	106700000	1.6896764306450787
REF00033	chr10	109600000	1.6896764306450787
REF00034	chr10	111050000	1.784655980857338
REF00035	chr10	112100000	1.784655980857338
REF00036	chr10	128350000	1.689407077391905
REF00037	chr11	3350000	1.4324988690670706
REF00038	chr11	19350000	1.5944324749569743
REF00039	chr11	24900000	1.5944324749569743
REF00040	chr11	29500000	1.57409323986677
REF00041	chr11	31000000	1.57409323986677
REF00042	chr11	36700000	1.5715912058000474
REF00043	chr11	39100000	1.5715912058000474
REF00044	chr11	43300000	1.9089002283444856
REF00045	chr11	48900000	2.0842041528281983
REF00046	chr11	49750000	1.8372029433636432
REF00047	chr11	50300000	1.4318069622298668
REF00048	chr11	55150000	1.4318069622298668
REF00049	chr11	61650000	2.0483497890155227
REF00050	chr11	62550000	1.4624486812411097
REF00051	chr11	63750000	1.3071185560986973
REF00052	chr11	65250000	1.3071185560986973
REF00053	chr11	66300000	3.5097931313575605
REF00054	chr11	67450000	3.5097931313575605
REF00055	chr11	67850000	3.7661931741079875
REF00056	chr11	67950000	3.7661931741079875
REF00057	chr11	68050000	3.7661931741079875
REF00058	chr11	68500000	3.7661931741079875
REF00059	chr11	68950000	3.7661931741079875
REF00060	chr11	69000000	3.7661931741079875
REF00061	chr11	69150000	7.770190665378893
REF00062	chr11	69550000	7.770190665378893
REF00063	chr11	71350000	20.301859942813923
REF00064	chr11	71400000	2.3098865572640053
REF00065	chr11	72200000	1.9220064798234393
REF00066	chr11	72250000	1.9220064798234393
REF00067	chr11	74900000	1.4541740946824644
REF00068	chr11	77800000	1.4541740946824644
REF00069	chr11	78600000	1.6590346290509166
REF00070	chr11	80550000	1.6590346290509166
REF00071	chr11	85550000	1.8060088969605852
REF00072	chr11	90200000	1.7511479760658482
REF00073	chr11	93750000	1.7511479760658482
REF00074	chr11	96600000	1.768727750685994
REF00075	chr11	100650000	1.768727750685994
REF00076	chr11	100800000	3.3070067723567576
REF00077	chr11	100850000	3.3070067723567576
REF00078	chr11	101350000	3.908518861875988
REF00079	chr11	101400000	3.908518861875988
REF00080	chr11	101800000	3.908518861875988
REF00081	chr11	102700000	3.329826481780277
REF00082	chr11	103500000	2.521775769071828
REF00083	chr11	113850000	2.0023079164688196
REF00084	chr11	114750000	1.7370773536331243
REF00085	chr11	116650000	1.7370773536331243
REF00086	chr11	119500000	1.830564997459341
REF00087	chr11	119550000	1.830564997459341
REF00088	chr11	126400000	1.4175513530163573
REF00089	chr11	127300000	1.4175513530163573
REF00090	chr11	128100000	1.8352810367421655
REF00091	chr11	128150000	1.8352810367421655
REF00092	chr11	130300000	2.4755601437304793
REF00093	chr11	131050000	1.8319345997554541
REF00094	chr11	132600000	1.4128585149539539
REF00095	chr11	132750000	1.4128585149539539
REF00096	chr11	132800000	1.4128585149539539
REF00097	chr11	134050000	2.3679210825371406
REF00098	chr11	134350000	2.4600352701538584
REF00099	chr12	1800000	2.9415508988388206
REF00100	chr12	6450000	2.111859416908996
REF00101	chr12	7000000	2.111859416908996
REF00102	chr12	9450000	1.9529681212874628
REF00103	chr12	9600000	1.9529681212874628
REF00104	chr12	13150000	2.331311848774152
REF00105	chr12	14400000	2.331311848774152
REF00106	chr12	17400000	2.486762967930134
