walk_id	walk_cn	order	edge_id	type	label	edge_cn
1	0.02	1	3	REF	REF003	0.58
1	0.02	2	4	REF	REF004	0.7
1	0.02	3	5	REF	REF005	0.7
1	0.02	4	6	REF	REF006	0.7
1	0.02	5	7	REF	REF007	0.7
1	0.02	6	8	REF	REF008	0.7
1	0.02	7	9	REF	REF009	0.7
1	0.02	8	10	REF	REF010	0.7
1	0.02	9	11	REF	REF011	0.72
1	0.02	10	12	REF	REF012	0.76
1	0.02	11	13	REF	REF013	1.43
1	0.02	12	14	REF	REF014	1.43
1	0.02	13	15	REF	REF015	1.43
1	0.02	14	16	REF	REF016	0.67
1	0.02	15	17	REF	REF017	0.67
1	0.02	16	18	REF	REF018	0.55
1	0.02	17	19	REF	REF019	0.56
1	0.02	18	20	REF	REF020	0.78
1	0.02	19	21	REF	REF021	0.78
1	0.02	20	22	REF	REF022	0.78
1	0.02	21	23	REF	REF023	0.78
1	0.02	22	24	REF	REF024	0.11
1	0.02	23	25	REF	REF025	0.78
1	0.02	24	26	REF	REF026	0.78
1	0.02	25	27	REF	REF027	0.78
1	0.02	26	28	REF	REF028	0.66
1	0.02	27	29	REF	REF029	0.7
1	0.02	28	30	REF	REF030	0.05
1	0.02	29	31	REF	REF031	0.06
1	0.02	30	32	REF	REF032	0.7
1	0.02	31	33	REF	REF033	0.7
1	0.02	32	34	REF	REF034	0.69
1	0.02	33	35	REF	REF035	0.73
1	0.02	34	36	REF	REF036	0.73
1	0.02	35	37	REF	REF037	0.73
1	0.02	36	38	REF	REF038	0.53
1	0.02	37	39	REF	REF039	1.26
1	0.02	38	40	REF	REF040	1.26
1	0.02	39	41	REF	REF041	1.25
1	0.02	40	42	REF	REF042	0.98
1	0.02	41	43	REF	REF043	1.1
1	0.02	42	44	REF	REF044	2.05
1	0.02	43	45	REF	REF045	1.26
1	0.02	44	46	REF	REF046	1.5
1	0.02	45	47	REF	REF047	1.12
1	0.02	46	67	ALT	SV12	0.67
1	0.02	47	23	REF	REF023	0.78
1	0.02	48	22	REF	REF022	0.78
1	0.02	49	21	REF	REF021	0.78
1	0.02	50	20	REF	REF020	0.78
1	0.02	51	19	REF	REF019	0.56
1	0.02	52	18	REF	REF018	0.55
1	0.02	53	17	REF	REF017	0.67
1	0.02	54	16	REF	REF016	0.67
1	0.02	55	15	REF	REF015	1.43
1	0.02	56	14	REF	REF014	1.43
1	0.02	57	13	REF	REF013	1.43
1	0.02	58	12	REF	REF012	0.76
1	0.02	59	11	REF	REF011	0.72
1	0.02	60	10	REF	REF010	0.7
1	0.02	61	9	REF	REF009	0.7
1	0.02	62	8	REF	REF008	0.7
1	0.02	63	7	REF	REF007	0.7
