walk_id	walk_cn	circular	order	node_id	chrom	start	end	strand
1	0.02	FALSE	1	590	chr7	38750000	40550000	+
1	0.02	FALSE	2	591	chr7	40550000	52100000	+
1	0.02	FALSE	3	592	chr7	52100000	52150000	+
1	0.02	FALSE	4	593	chr7	52150000	53200000	+
1	0.02	FALSE	5	594	chr7	53200000	53950000	+
1	0.02	FALSE	6	595	chr7	53950000	56050000	+
1	0.02	FALSE	7	596	chr7	56050000	56950000	+
1	0.02	FALSE	8	597	chr7	56950000	58050000	+
1	0.02	FALSE	9	598	chr7	58050000	58100000	+
1	0.02	FALSE	10	599	chr7	58100000	58150000	+
1	0.02	FALSE	11	600	chr7	58150000	60800000	+
1	0.02	FALSE	12	601	chr7	60800000	60850000	+
1	0.02	FALSE	13	602	chr7	60850000	60900000	+
1	0.02	FALSE	14	603	chr7	60900000	62250000	+
1	0.02	FALSE	15	604	chr7	62250000	63450000	+
1	0.02	FALSE	16	605	chr7	63450000	63750000	+
1	0.02	FALSE	17	606	chr7	63750000	63850000	+
1	0.02	FALSE	18	607	chr7	63850000	64250000	+
1	0.02	FALSE	19	608	chr7	64250000	65050000	+
1	0.02	FALSE	20	609	chr7	65050000	67300000	+
1	0.02	FALSE	21	610	chr7	67300000	67350000	+
1	0.02	FALSE	22	611	chr7	67350000	70100000	+
1	0.02	FALSE	23	612	chr7	70100000	70400000	+
1	0.02	FALSE	24	613	chr7	70400000	72500000	+
1	0.02	FALSE	25	614	chr7	72500000	76450000	+
1	0.02	FALSE	26	615	chr7	76450000	77200000	+
1	0.02	FALSE	27	616	chr7	77200000	79350000	+
1	0.02	FALSE	28	617	chr7	79350000	83700000	+
1	0.02	FALSE	29	618	chr7	83700000	85350000	+
1	0.02	FALSE	30	619	chr7	85350000	86950000	+
1	0.02	FALSE	31	620	chr7	86950000	87150000	+
1	0.02	FALSE	32	621	chr7	87150000	87200000	+
1	0.02	FALSE	33	622	chr7	87200000	91900000	+
1	0.02	FALSE	34	623	chr7	91900000	94250000	+
1	0.02	FALSE	35	624	chr7	94250000	98200000	+
1	0.02	FALSE	36	625	chr7	98200000	102300000	+
1	0.02	FALSE	37	626	chr7	102300000	102700000	+
1	0.02	FALSE	38	627	chr7	102700000	142800000	+
1	0.02	FALSE	39	628	chr7	142800000	148500000	+
1	0.02	FALSE	40	629	chr7	148500000	151050000	+
1	0.02	FALSE	41	630	chr7	151050000	151450000	+
1	0.02	FALSE	42	631	chr7	151450000	152850000	+
1	0.02	FALSE	43	632	chr7	152850000	153400000	+
1	0.02	FALSE	44	633	chr7	153400000	154900000	+
1	0.02	FALSE	45	634	chr7	154900000	155600000	+
1	0.02	FALSE	46	635	chr7	155600000	157550000	+
1	0.02	FALSE	47	636	chr7	157550000	158600000	+
1	0.02	FALSE	48	637	chr7	158600000	159345973	+
2	0.78	FALSE	1	152	chr13	18150000	18600000	+
2	0.78	FALSE	2	153	chr13	18600000	19200000	+
2	0.78	FALSE	3	154	chr13	19200000	40800000	+
2	0.78	FALSE	4	155	chr13	40800000	42250000	+
2	0.78	FALSE	5	156	chr13	42250000	48500000	+
