segment_id	chrom	start	end	parent_cnv_segment	sequence_cn	observed_sequence_cn	balanced_sequence_cn
SEQ001	X	50000	1850000	CNSEG001	0.017123472930226084	0.017135118746448463	0.017123472930226084
SEQ002	X	1850000	2700000	CNSEG002	0.017123478463793446	0.006679241528991945	0.017123478463793446
SEQ003	X	2700000	3650000	CNSEG003	2.1894951738739294	2.189497799732615	2.1894951738739294
SEQ004	X	3650000	7160000	CNSEG004	1.0871616755564677	0.8263357557536755	1.0871616755564677
SEQ005	X	7160000	7580000	CNSEG005	0.016275356494243658	0.016267089973492382	0.016275356494243658
SEQ006	X	7580000	10650000	CNSEG006	1.0871611285822782	0.9944012396427835	1.0871611285822782
SEQ007	X	10650000	10925000	CNSEG006	1.0871611285822782	0.9944012396427835	1.0871611285822782
SEQ008	X	10925000	11275000	CNSEG007	7.613184421911616	1.9014499963623506	7.613184421911616
SEQ009	X	11275000	11300000	CNSEG007	7.613184421911616	1.9014499963623506	7.613184421911616
SEQ010	X	11300000	11650000	CNSEG008	0.005013244783084365	0.004994998638096802	0.005013244783084365
SEQ011	X	11650000	12750000	CNSEG009	1.6965447646289766	1.6965453559448729	1.6965447646289766
SEQ012	X	12750000	17600000	CNSEG010	2.2782072720569757	2.278208835568132	2.2782072720569757
SEQ013	X	17600000	18050000	CNSEG011	1.6024764554032054	1.602472945416774	1.6024764554032054
SEQ014	X	18050000	23450000	CNSEG012	2.21330073670046	2.2133015136585636	2.21330073670046
SEQ015	X	23450000	24450000	CNSEG013	2.8051905700610815	2.8051929357035714	2.8051905700610815
SEQ016	X	24450000	24480000	CNSEG013	2.8051905700610815	2.8051929357035714	2.8051905700610815
SEQ017	X	24480000	24550000	CNSEG013	2.8051905700610815	2.8051929357035714	2.8051905700610815
SEQ018	X	24550000	25450000	CNSEG014	2.1894971580100204	2.189497799732615	2.1894971580100204
SEQ019	X	25450000	38125000	CNSEG015	1.9806817056424335	1.9806857438660495	1.9806817056424335
SEQ020	X	38125000	38160000	CNSEG015	1.9806817056424335	1.9806857438660495	1.9806817056424335
SEQ021	X	38160000	39950000	CNSEG016	1.0168188950763797	0.9157336864181262	1.0168188950763797
SEQ022	X	39950000	40550000	CNSEG017	1.0168188969769616	1.1119562297785128	1.0168188969769616
SEQ023	X	40550000	41700000	CNSEG018	1.3602747259381907	1.3602765619517645	1.3602747259381907
SEQ024	X	41700000	44350000	CNSEG019	1.0779576567471247	1.077957276653557	1.0779576567471247
SEQ025	X	44350000	47880000	CNSEG020	1.3095758193197578	1.3095761928422682	1.3095758193197578
SEQ026	X	47880000	48400000	CNSEG021	4.262202407237135	4.262205046269171	4.262202407237135
SEQ027	X	48400000	48450000	CNSEG021	4.262202407237135	4.262205046269171	4.262202407237135
SEQ028	X	48450000	49400000	CNSEG021	4.262202407237135	4.262205046269171	4.262202407237135
SEQ029	X	49400000	50275000	CNSEG022	1.9035604664550518	1.9035599416745306	1.9035604664550518
SEQ030	X	50275000	51700000	CNSEG023	1.6568807194125914	1.009191527800175	1.6568807194125914
SEQ031	X	51700000	52500000	CNSEG024	0.1020488667506714	0.10204659855635133	0.1020488667506714
SEQ032	X	52500000	53000000	CNSEG025	1.340154250949747	1.3401551208194793	1.340154250949747
SEQ033	X	53000000	54050000	CNSEG025	1.340154250949747	1.3401551208194793	1.340154250949747
SEQ034	X	54050000	55030000	CNSEG026	2.6775239296869477	2.677524915639995	2.6775239296869477
SEQ035	X	55030000	55640000	CNSEG027	1.1677233989984885	1.1677245478713043	1.1677233989984885
SEQ036	X	55640000	58100000	CNSEG028	0.012217184644964392	0.01221671317388427	0.012217184644964392
SEQ037	X	63800000	72250000	CNSEG029	1.1030510043664346	1.1030513853098902	1.1030510043664346
SEQ038	X	72250000	77350000	CNSEG030	2.7352349155979887	1.3179539840678909	2.7352349155979887
SEQ039	X	77350000	77775000	CNSEG030	2.7352349155979887	1.3179539840678909	2.7352349155979887
SEQ040	X	77775000	77800000	CNSEG030	2.7352349155979887	1.3179539840678909	2.7352349155979887
SEQ041	X	77800000	88450000	CNSEG031	1.109492995311089	1.1094925652381435	1.109492995311089
SEQ042	X	88450000	92350000	CNSEG032	3.4041606977408585	3.4041627201694484	3.4041606977408585
SEQ043	X	92350000	117140000	CNSEG033	1.132098994159987	1.1320989021106738	1.132098994159987
SEQ044	X	117140000	117450000	CNSEG034	3.0889106609476906	3.088914632193749	3.0889106609476906
SEQ045	X	117450000	118180000	CNSEG035	1.3379295763038248	1.337927554786112	1.3379295763038248
SEQ046	X	118180000	118200000	CNSEG035	1.3379295763038248	1.337927554786112	1.3379295763038248
SEQ047	X	118200000	118270000	CNSEG035	1.3379295763038248	1.337927554786112	1.3379295763038248
SEQ048	X	118270000	121850000	CNSEG036	3.6330952395755345	3.6330972902056815	3.6330952395755345
SEQ049	X	121850000	121870000	CNSEG036	3.6330952395755345	3.6330972902056815	3.6330952395755345
SEQ050	X	121870000	122700000	CNSEG037	2.041176621673561	2.041175173975813	2.041176621673561
SEQ051	X	122700000	123200000	CNSEG038	3.0175927228486743	3.01759669285469	3.0175927228486743
SEQ052	X	123200000	123300000	CNSEG038	3.0175927228486743	3.01759669285469	3.0175927228486743
SEQ053	X	123300000	125280000	CNSEG039	2.015447397941545	2.015447216135025	2.015447397941545
SEQ054	X	125280000	129200000	CNSEG040	3.240685799898747	3.2406877065321793	3.240685799898747
SEQ055	X	129200000	129240000	CNSEG040	3.240685799898747	3.2406877065321793	3.240685799898747
SEQ056	X	129240000	130400000	CNSEG041	2.1728679989064714	2.1728671948196214	2.1728679989064714
SEQ057	X	130400000	130500000	CNSEG041	2.1728679989064714	2.1728671948196214	2.1728679989064714
SEQ058	X	130500000	130950000	CNSEG042	3.976222522009449	3.9762266645938684	3.976222522009449
SEQ059	X	130950000	131100000	CNSEG042	3.976222522009449	3.9762266645938684	3.976222522009449
SEQ060	X	131100000	136300000	CNSEG043	2.2544874742362193	2.254488264189543	2.2544874742362193
SEQ061	X	136300000	140300000	CNSEG044	1.009751743583455	1.0097512975966858	1.009751743583455
SEQ062	X	140300000	141090000	CNSEG045	1.5123571526097668	1.5123583253691026	1.5123571526097668
SEQ063	X	141090000	141150000	CNSEG046	2.0091705872059547	2.00917050326763	2.0091705872059547
SEQ064	X	141150000	142150000	CNSEG046	2.0091705872059547	2.00917050326763	2.0091705872059547
SEQ065	X	142150000	143760000	CNSEG047	3.0186405371029363	3.0186426934221657	3.0186405371029363
SEQ066	X	143760000	145590000	CNSEG048	1.8322289601172022	1.8322292171137968	1.8322289601172022
SEQ067	X	145590000	153330000	CNSEG049	0.9421315109740728	0.9421312739048087	0.9421315109740728
SEQ068	X	153330000	154950000	CNSEG050	2.1266738322193732	2.126675624352203	2.1266738322193732
SEQ069	X	154950000	155200000	CNSEG051	0.018177556246291016	0.01817501040124661	0.018177556246291016
