original_cbs_boundary	snapped_boundary	distance_bp	raw_left_median_cn	raw_right_median_cn	raw_cn_jump	matched_sv_id	matched_orientation	matched_probability	matched_foldback
7200000	7160000	-40000	0.9889844204535878	0.004248635215622701	0.9847357852379651	SV13	+-	0.886	False
7550000	7580000	30000	0.053120816341892495	1.0361892029019737	0.9830683865600812	SV13	+-	0.886	False
10950000	10925000	-25000	1.2006053169142454	2.44187555454012	1.2412702376258746	SV14	-+	0.4301	False
11350000	11300000	-50000	2.2303478356049595	0.003901884393176298	2.226445951211783	SV10	++	0.9743	True
38150000	38160000	10000	1.8691874614365673	0.9949433803939804	0.8742440810425869	SV04	+-	1.0	False
47900000	47880000	-20000	1.1258172687550363	4.064756269463715	2.938939000708679	SV04	+-	1.0	False
50250000	50275000	25000	1.4877227836691524	0.8736933142209882	0.6140294694481643	SV10	++	0.9743	True
51700000	51700000	0	1.1961425027834398	0.05643733751903469	1.139705165264405	SV12	+-	0.9641	False
54050000	54050000	0	1.3849604298986895	3.0748302680431205	1.689869838144431	SV06	-+	0.9998	False
55000000	55030000	30000	2.4475985667040874	1.3950426090453218	1.0525559576587655	SV06	-+	0.9998	False
55650000	55640000	-10000	0.7557660523832128	0.013290167071112	0.7424758853121008	SV09	+-	0.9845	False
117150000	117140000	-10000	1.2249217564100308	3.774993826402736	2.550072069992705	SV08	-+	0.9939	False
118250000	118270000	20000	1.6728251177431854	3.3241187503036915	1.651293632560506	SV02	-+	1.0	False
121850000	121870000	20000	3.651512302890099	2.025907117443971	1.625605185446128	SV11	++	0.9734	True
125300000	125280000	-20000	2.30251311241941	3.1991145756286983	0.8966014632092882	SV01	--	1.0	True
129300000	129240000	-60000	3.2003748753344397	2.601223729518667	0.5991511458157728	SV05	+-	0.9999	False
131150000	131100000	-50000	4.0094273295477905	2.2191918040044047	1.7902355255433857	SV11	++	0.9734	True
141100000	141090000	-10000	0.9948685044396584	1.9461709872944386	0.9513024828547803	SV05	+-	0.9999	False
142200000	142150000	-50000	1.898559388045589	2.493072444260907	0.5945130562153178	SV01	--	1.0	True
143750000	143760000	10000	2.660372967541027	2.138881292092556	0.5214916754484711	SV08	-+	0.9939	False
145600000	145590000	-10000	1.8289549579025104	0.7443970425398883	1.0845579153626221	SV02	-+	1.0	False
153300000	153330000	30000	1.0013843594916016	3.4422078424482008	2.440823482956599	SV07	--	0.9993	True
