edge_id	chrom	boundary	reference_cn
REF001	X	2700000	0.01266483477334962
REF002	X	3650000	0.8263354995713527
REF003	X	7160000	1.940521914690194e-06
REF004	X	7580000	0.016274738464202677
REF005	X	10650000	0.9944012256621529
REF006	X	10925000	0.9944009818031727
REF007	X	11275000	1.9022409304468506
REF008	X	11300000	0.004994757177595328
REF009	X	11650000	0.0049947574633918196
REF010	X	12750000	1.6965450914860853
REF011	X	24450000	2.256520653974567
REF012	X	24480000	2.2565205567541047
REF013	X	25450000	1.9806854766374606
REF014	X	38125000	1.9806857207235706
REF015	X	38160000	0.9157264234106177
REF016	X	39950000	0.9157334291666913
REF017	X	40550000	1.111955970721313
REF018	X	41700000	1.0779570179409037
REF019	X	44350000	1.0779570179038829
REF020	X	47880000	1.3095759320830416
REF021	X	48400000	4.262205001690225
REF022	X	48450000	4.262205001586341
REF023	X	49400000	1.9035596753488735
REF024	X	50275000	0.7872434558456836
REF025	X	51700000	0.10204624188395911
REF026	X	52500000	0.10204634957445152
REF027	X	53000000	1.3400622143494403
REF028	X	54050000	1.1677365276837997
REF029	X	55030000	1.1677242850365286
REF030	X	55640000	0.010706027061863067
REF031	X	58550000	0.01070602722804084
REF032	X	59300000	6.156882040300135
REF033	X	60100000	10.412899573779121
REF034	X	60900000	17.91132259296332
REF035	X	61700000	1.1118018317704834
REF036	X	72250000	1.1118018315031717
REF037	X	77350000	1.3178626167313598
REF038	X	77775000	1.3178626167313598
REF039	X	77800000	1.109492306167883
REF040	X	88450000	1.109492306397458
REF041	X	92350000	1.1320986430561784
REF042	X	117140000	1.0387640647543597
REF043	X	117450000	1.3379272937799556
REF044	X	118180000	1.3379275368871697
REF045	X	118200000	1.3379275376506838
REF046	X	118270000	1.3379272937425353
REF047	X	121850000	3.6500089073599358
REF048	X	121870000	2.0411729098894607
REF049	X	122700000	2.0411749063146534
REF050	X	123200000	3.0175966598800206
REF051	X	123300000	2.015446948717701
REF052	X	125280000	2.0154469483914537
REF053	X	129200000	3.2406876715399378
REF054	X	129240000	2.1728669258075453
REF055	X	130400000	2.1728671664882975
REF056	X	130500000	2.1728669259490587
REF057	X	130950000	3.976226622671557
REF058	X	131100000	2.2544879939536417
REF059	X	136300000	1.0097510396739446
REF060	X	140300000	1.0097510396068297
REF061	X	141090000	1.4491774449506383
REF062	X	141150000	2.0091704798454617
REF063	X	142150000	2.0091653434346894
REF064	X	143760000	1.8322289503805338
REF065	X	145590000	0.8535368466145448
REF066	X	153330000	0.9421963224059874
REF067	X	154950000	0.018174764149347284
