chrom1	chrom2	valid_pair_count	nonzero_pixel_count	observed_count	expected_count	observed_expected_ratio
chr1	chr2	21374370	992939	1039457.0	1154414.166362146	0.9004194770717295
chr1	chr3	16091271	1015162	1072121.0	1198781.550361199	0.8943422591688739
chr1	chr4	16830636	646490	673580.0	778078.8721451194	0.8656962990692423
chr1	chr5	15800006	986776	1133370.0	1193511.9506914497	0.9496092597509334
chr1	chr6	15100970	934270	984205.0	1004536.9856594848	0.9797598436396678
chr1	chr7	14115150	840124	889819.0	958810.8697930707	0.9280443391218954
chr1	chr8	12407889	844920	895670.0	1054956.9433473896	0.8490109531466086
chr1	chr9	10032959	628001	669942.0	674141.4674306469	0.993770643650431
chr1	chr10	11897055	644080	683101.0	700966.2388676775	0.9745134103797402
chr1	chr11	11834321	775079	867435.0	850004.3111608236	1.0205065887434994
chr1	chr12	11932903	795695	844151.0	876394.3570259219	0.9632090773206927
chr1	chr13	8769317	433105	452612.0	497292.2751337719	0.9101528872095331
chr1	chr14	7828307	742157	805550.0	842129.7780002598	0.9565627781419593
chr1	chr15	7048613	550365	594788.0	508112.59546343965	1.170583066254253
chr1	chr16	6878335	513365	564655.0	500054.7026661631	1.1291864609799782
chr1	chr17	7012765	548967	591098.0	486661.0627516732	1.2145989174844207
chr1	chr18	6546741	266359	278847.0	311869.23589934467	0.8941151223072142
chr1	chr19	4969429	299113	324786.0	226781.90370056493	1.4321513079316783
chr1	chr20	5426491	331362	352518.0	322932.83969562396	1.0916139725283471
chr1	chr21	3145662	129411	136143.0	133205.51572185074	1.022052272101728
chr1	chr22	3109814	305269	337628.0	268181.0720918673	1.2589553668587885
chr2	chr3	17129070	815480	853479.0	987069.0953990918	0.8646598338234076
chr2	chr4	17916120	508824	537876.0	640665.1889545856	0.8395586482194962
chr2	chr5	16819020	772937	817108.0	982730.1405848744	0.8314673237901262
chr2	chr6	16074900	690824	718168.0	827129.3576641047	0.8682656386761288
chr2	chr7	15025500	659130	687407.0	789478.7650179499	0.8707099297146654
chr2	chr8	13208130	675433	708176.0	868644.8297783238	0.8152653141108605
chr2	chr9	10680030	491884	519147.0	555083.7917277666	0.9352587982871758
chr2	chr10	12664350	501963	529250.0	577171.1377239235	0.9169723941621531
chr2	chr11	12597570	653321	723874.0	699888.1374592755	1.034270994544639
chr2	chr12	12702510	629839	660746.0	721617.5331875919	0.9156457120454032
chr2	chr13	9334890	341790	361021.0	409467.29286695254	0.881684584554366
chr2	chr14	8333190	595500	635310.0	693404.2969954764	0.9162187236981381
