segment_id	chrom	start	end	parent_cnv_segment	sequence_cn	balanced_sequence_cn
SEQ001	chrX	0	350000	CNSEG001	0.0020000059398117102	0.0020000059398117102
SEQ002	chrX	350000	2750000	CNSEG001	0.0020000059398117102	0.0020000059398117102
SEQ003	chrX	2750000	3700000	CNSEG002	1.377448136833229	1.377448136833229
SEQ004	chrX	3700000	7250000	CNSEG003	0.6978408707172458	0.6978408707172458
SEQ005	chrX	7250000	7660000	CNSEG003	0.6978408707172458	0.6978408707172458
SEQ006	chrX	7660000	7785000	CNSEG003	0.6978408707172458	0.6978408707172458
SEQ007	chrX	7785000	7935000	CNSEG003	0.6978408707172458	0.6978408707172458
SEQ008	chrX	7935000	8725000	CNSEG003	0.6978408707172458	0.6978408707172458
SEQ009	chrX	8725000	10150000	CNSEG003	0.6978408707172458	0.6978408707172458
SEQ010	chrX	10150000	10925000	CNSEG003	0.6978408707172458	0.6978408707172458
SEQ011	chrX	10925000	11250000	CNSEG004	1.4339492843760053	1.4339492843760053
SEQ012	chrX	11250000	11260000	CNSEG004	1.4339492843760053	1.4339492843760053
SEQ013	chrX	11260000	11275000	CNSEG004	1.4339492843760053	1.4339492843760053
SEQ014	chrX	11275000	24460000	CNSEG004	1.4339492843760053	1.4339492843760053
SEQ015	chrX	24460000	24465000	CNSEG004	1.4339492843760053	1.4339492843760053
SEQ016	chrX	24465000	38300000	CNSEG004	1.4339492843760053	1.4339492843760053
SEQ017	chrX	38300000	40550000	CNSEG005	0.671863471629617	0.671863471629617
SEQ018	chrX	40550000	48025000	CNSEG006	0.7483110582641044	0.7483110582641044
SEQ019	chrX	48025000	50525000	CNSEG007	1.286304317584612	1.286304317584612
SEQ020	chrX	50525000	50530000	CNSEG008	0.783741610556954	0.783741610556954
SEQ021	chrX	50530000	51930000	CNSEG008	0.783741610556954	0.783741610556954
SEQ022	chrX	51930000	51955000	CNSEG008	0.783741610556954	0.783741610556954
SEQ023	chrX	51955000	52200000	CNSEG008	0.783741610556954	0.783741610556954
SEQ024	chrX	52200000	52670000	CNSEG008	0.783741610556954	0.783741610556954
SEQ025	chrX	52670000	53675000	CNSEG008	0.783741610556954	0.783741610556954
SEQ026	chrX	53675000	53680000	CNSEG008	0.783741610556954	0.783741610556954
SEQ027	chrX	53680000	53705000	CNSEG008	0.783741610556954	0.783741610556954
SEQ028	chrX	53705000	54020000	CNSEG008	0.783741610556954	0.783741610556954
SEQ029	chrX	54020000	55000000	CNSEG009	1.4676683517854339	1.4676683517854339
SEQ030	chrX	55000000	55605000	CNSEG010	0.6969755731167796	0.6969755731167796
SEQ031	chrX	55605000	62400000	CNSEG011	0.05651665927231614	0.05651665927231614
SEQ032	chrX	62400000	70965000	CNSEG012	0.6951036376317878	0.6951036376317878
SEQ033	chrX	70965000	71180000	CNSEG012	0.6951036376317878	0.6951036376317878
SEQ034	chrX	71180000	89250000	CNSEG012	0.6951036376317878	0.6951036376317878
SEQ035	chrX	89250000	92850000	CNSEG013	1.111025554285028	1.111025554285028
SEQ036	chrX	92850000	102175000	CNSEG014	0.7264774892099992	0.7264774892099992
SEQ037	chrX	102175000	102450000	CNSEG014	0.7264774892099992	0.7264774892099992
SEQ038	chrX	102450000	118010000	CNSEG014	0.7264774892099992	0.7264774892099992
SEQ039	chrX	118010000	118250000	CNSEG015	1.2589055079217706	1.2589055079217706
SEQ040	chrX	118250000	119050000	CNSEG015	1.2589055079217706	1.2589055079217706
SEQ041	chrX	119050000	119140000	CNSEG015	1.2589055079217706	1.2589055079217706
SEQ042	chrX	119140000	122740000	CNSEG016	2.0984152538111545	2.0984152538111545
SEQ043	chrX	122740000	126145000	CNSEG017	1.449409243354023	1.449409243354023
SEQ044	chrX	126145000	130050000	CNSEG018	2.053940657670214	2.053940657670214
SEQ045	chrX	130050000	130100000	CNSEG018	2.053940657670214	2.053940657670214
SEQ046	chrX	130100000	131265000	CNSEG019	1.4980720374358223	1.4980720374358223
SEQ047	chrX	131265000	131960000	CNSEG020	2.223087910673381	2.223087910673381
SEQ048	chrX	131960000	137220000	CNSEG021	1.44138426376578	1.44138426376578
SEQ049	chrX	137220000	142005000	CNSEG022	0.7113443407363235	0.7113443407363235
SEQ050	chrX	142005000	142025000	CNSEG023	1.3753006156976986	1.3753006156976986
SEQ051	chrX	142025000	143065000	CNSEG023	1.3753006156976986	1.3753006156976986
SEQ052	chrX	143065000	144680000	CNSEG024	1.9740503670359835	1.9740503670359835
SEQ053	chrX	144680000	146505000	CNSEG025	1.3277467517765034	1.3277467517765034
SEQ054	chrX	146505000	154065000	CNSEG026	0.6980101885059972	0.6980101885059972
SEQ055	chrX	154065000	154300000	CNSEG026	0.6980101885059972	0.6980101885059972
SEQ056	chrX	154300000	156040895	CNSEG027	1.3090343907109219	1.3090343907109219
