segment_id	chrom	side	source_cn
SEQ001	chr18	L	1.9830093775307447
SEQ001	chr18	R	0.5129500483340136
SEQ002	chr18	L	0.13792853004026098
SEQ002	chr18	R	1.4011104831728847
SEQ003	chr18	L	0.0008782449014216785
SEQ003	chr18	R	0.0010016004080518962
SEQ004	chr18	L	0.27458470283005054
SEQ004	chr18	R	0.0
SEQ005	chr18	L	0.9943199102304451
SEQ005	chr18	R	0.16280380345026205
SEQ006	chr18	L	0.002701068821979677
SEQ006	chr18	R	5.812357257867459e-05
SEQ007	chr18	L	0.7481893051264719
SEQ007	chr18	R	0.5403358089926696
SEQ008	chr18	L	0.7644444467552653
SEQ008	chr18	R	0.36556624751781336
SEQ009	chr18	L	0.6372516605597284
SEQ009	chr18	R	0.5628604253862798
SEQ010	chr18	L	0.0018193228663939778
SEQ010	chr18	R	0.6687085929518064
SEQ011	chr18	L	1.1112889667224304
SEQ011	chr18	R	1.0320426225703712
SEQ012	chr18	L	0.7575993295545425
SEQ012	chr18	R	0.8879993272677474
SEQ013	chr18	L	0.4364015741158151
SEQ013	chr18	R	0.853756007391564
SEQ014	chr18	L	0.6923901568125093
SEQ014	chr18	R	0.0
SEQ015	chr18	L	0.5626269136931898
SEQ015	chr18	R	0.030092348863225236
SEQ016	chr18	L	0.0
SEQ016	chr18	R	1.1553317459260302
SEQ017	chr18	L	0.7145132885605858
SEQ017	chr18	R	0.6981788307312566
SEQ018	chr18	L	0.03809168774731996
SEQ018	chr18	R	0.4045854859683141
SEQ019	chr18	L	0.8462992703644162
SEQ019	chr18	R	0.6102289109032568
SEQ020	chr18	L	0.11994085033029232
SEQ020	chr18	R	0.1569155561833855
SEQ021	chr18	L	0.46514676218277945
SEQ021	chr18	R	0.37674460958837586
SEQ022	chr18	L	0.0012689309677201216
SEQ022	chr18	R	0.0
SEQ023	chr18	L	0.04605390797095851
SEQ023	chr18	R	0.37105840580168836
SEQ024	chr18	L	0.012407030673400227
SEQ024	chr18	R	0.24341207401915163
SEQ025	chr18	L	0.03756021095426428
SEQ025	chr18	R	0.019797202873042943
SEQ026	chr18	L	0.2962588916853172
SEQ026	chr18	R	0.4593100724088008
SEQ027	chr18	L	1.7661049147914742
SEQ027	chr18	R	1.0849375733335365
SEQ028	chr18	L	0.5668696864107428
SEQ028	chr18	R	1.6344205935093568
SEQ029	chr18	L	0.3243804883893091
SEQ029	chr18	R	0.3328928663155185
SEQ030	chr18	L	0.0
SEQ030	chr18	R	0.04487175787050309
SEQ031	chr18	L	0.21220733784539542
SEQ031	chr18	R	0.004218796538236162
SEQ032	chr18	L	0.5615239367442892
SEQ032	chr18	R	0.00856687175100378
SEQ033	chr18	L	0.5175480982920379
SEQ033	chr18	R	0.5957768977439047
SEQ034	chr18	L	0.4833144673078506
SEQ034	chr18	R	0.27534732785892335
SEQ035	chr18	L	0.0
SEQ035	chr18	R	0.0
SEQ036	chr18	L	0.19275222030937414
SEQ036	chr18	R	0.6573316937962469
SEQ037	chr18	L	0.0
SEQ037	chr18	R	0.6199097069793696
