segment_id	chrom	side	source_cn
SEQ001	chrX	L	0.0020000059400668334
SEQ001	chrX	R	0.0
SEQ002	chrX	L	0.0
SEQ002	chrX	R	0.0
SEQ003	chrX	L	1.3754375119723214
SEQ003	chrX	R	0.005196207436233859
SEQ004	chrX	L	0.0
SEQ004	chrX	R	0.0
SEQ005	chrX	L	0.0
SEQ005	chrX	R	0.0
SEQ006	chrX	L	0.0
SEQ006	chrX	R	0.0
SEQ007	chrX	L	0.7360286872264769
SEQ007	chrX	R	0.0
SEQ008	chrX	L	0.0
SEQ008	chrX	R	0.0
SEQ009	chrX	L	0.0
SEQ009	chrX	R	0.011173317271130155
SEQ010	chrX	L	4.7377376298051276e-05
SEQ010	chrX	R	0.0
SEQ011	chrX	L	0.0
SEQ011	chrX	R	0.2349018772050599
SEQ012	chrX	L	0.021786898458334092
SEQ012	chrX	R	0.5024945416010511
SEQ013	chrX	L	0.00019748880473021034
SEQ013	chrX	R	0.0
SEQ014	chrX	L	0.0
SEQ014	chrX	R	0.0
SEQ015	chrX	L	0.0
SEQ015	chrX	R	0.0
SEQ016	chrX	L	0.0
SEQ016	chrX	R	0.0
SEQ017	chrX	L	0.0
SEQ017	chrX	R	0.008520275612739376
SEQ018	chrX	L	0.003908832724246443
SEQ018	chrX	R	0.0818684453842596
SEQ019	chrX	L	0.00019558411471643443
SEQ019	chrX	R	0.6414687552317927
SEQ020	chrX	L	0.0008476534697494809
SEQ020	chrX	R	0.0
SEQ021	chrX	L	0.0052988907083796255
SEQ021	chrX	R	6.4005917010337615e-06
SEQ022	chrX	L	0.41590132109617767
SEQ022	chrX	R	0.45254544655713863
SEQ023	chrX	L	0.067998599613351
SEQ023	chrX	R	0.03026744543183638
SEQ024	chrX	L	0.002078025533977064
SEQ024	chrX	R	0.0
SEQ025	chrX	L	0.0
SEQ025	chrX	R	0.0
SEQ026	chrX	L	0.0
SEQ026	chrX	R	0.0
SEQ027	chrX	L	0.10939417202478201
SEQ027	chrX	R	0.0003451824520974736
SEQ028	chrX	L	0.06013659884929684
SEQ028	chrX	R	0.0
SEQ029	chrX	L	0.0
SEQ029	chrX	R	0.5192354029644785
SEQ030	chrX	L	1.1237670013350824
SEQ030	chrX	R	0.0
SEQ031	chrX	L	0.0
SEQ031	chrX	R	0.0
SEQ032	chrX	L	0.0339275374614307
SEQ032	chrX	R	0.5326492249423441
SEQ033	chrX	L	1.2576312559707186
SEQ033	chrX	R	0.6825218518223622
SEQ034	chrX	L	0.609576542226941
SEQ034	chrX	R	0.7323990006578239
SEQ035	chrX	L	0.0026042017508900862
SEQ035	chrX	R	0.11362134646446038
SEQ036	chrX	L	0.1876994443649585
SEQ036	chrX	R	0.0
SEQ037	chrX	L	0.0
SEQ037	chrX	R	9.664285646711114e-05
SEQ038	chrX	L	0.5989901704916151
SEQ038	chrX	R	0.08568740584332848
SEQ039	chrX	L	1.321329862276376e-06
SEQ039	chrX	R	0.0
SEQ040	chrX	L	0.10012238535617671
SEQ040	chrX	R	0.0
SEQ041	chrX	L	0.0
SEQ041	chrX	R	0.012538775175792145
SEQ042	chrX	L	0.6235041300983695
SEQ042	chrX	R	1.3090343907107589
