segment_id	chrom	side	sequence_cn	connected_cn	source_cn	generic_source_cn	reciprocal_source_cn	connected_fraction	source_allowed	is_unresolved_cn_step	is_sv_breakend	is_reciprocal_latent_side	is_telomere
SEQ001	X	L	0.017123472930226084	3.596527523713755e-09	0.01712346933369856	0.01712346933369856	0.0	2.1003493499062455e-07	True	False	False	False	True
SEQ001	X	R	0.017123472930226084	0.017123450399491428	2.253073465755252e-08	2.253073465755252e-08	0.0	0.9999986842193317	True	True	False	False	False
SEQ002	X	L	0.017123478463793446	0.01712345416642226	2.4297371183505646e-08	2.4297371183505646e-08	0.0	0.9999985810493331	True	True	False	False	False
SEQ002	X	R	0.017123478463793446	0.01712345579509078	2.266870266419692e-08	2.266870266419692e-08	0.0	0.9999986761625149	True	True	False	False	False
SEQ003	X	L	2.1894951738739294	0.017123451064037454	2.172371722809892	2.172371722809892	0.0	0.007820730215970514	True	True	False	False	False
SEQ003	X	R	2.1894951738739294	1.087161648433836	1.1023335254400934	1.1023335254400934	0.0	0.49653530247810196	True	True	False	False	False
SEQ004	X	L	1.0871616755564677	1.0871616530120836	2.254438409316044e-08	2.254438409316044e-08	0.0	0.9999999792630805	True	True	False	False	False
SEQ004	X	R	1.0871616755564677	1.0871616549686272	2.0587840623522248e-08	2.0587840623522248e-08	0.0	0.9999999810627609	True	True	True	False	False
SEQ005	X	L	0.016275356494243658	1.5169006114958139e-05	0.0162601874881287	1.6945202369079822e-08	0.01626017054292633	0.0009320229710681411	True	True	False	True	False
SEQ005	X	R	0.016275356494243658	1.4627636491182372e-05	0.016260728857752475	1.7704022237485994e-08	0.016260711153730237	0.0008987598211047446	True	True	False	True	False
SEQ006	X	L	1.0871611285822782	1.08716110951749	1.9064788255240376e-08	1.9064788255240376e-08	0.0	0.9999999824636958	True	True	True	False	False
SEQ006	X	R	1.0871611285822782	1.0871611285822782	0.0	0.0	0.0	1.0	False	False	True	False	False
SEQ007	X	L	1.0871611285822782	0.9801369743138207	0.10702415426845745	1.199433851732712e-07	0.10702403432507228	0.9015563089456452	False	False	False	True	False
SEQ007	X	R	1.0871611285822782	6.34331406834665e-05	1.0870976954415947	1.832700130522615e-08	1.0870976771145935	5.834750619366518e-05	True	True	False	True	False
SEQ008	X	L	7.613184421911616	7.613184404051317	1.7860298782158083e-08	1.7860298782158083e-08	0.0	0.9999999976540305	True	True	True	False	False
SEQ008	X	R	7.613184421911616	7.613184421911616	0.0	0.0	0.0	1.0	False	False	True	False	False
SEQ009	X	L	7.613184421911616	6.360577302633175e-05	7.61312081613859	1.2060349774131422e-07	7.613120695535092	8.354687014183849e-06	False	False	False	True	False
