segment_id	chrom	side	source_cn	source_class
SEQ00001	chr1	L	1.216175979097276	telomere
SEQ00001	chr1	R	-0.0	unresolved
SEQ00002	chr1	L	0.19596781390146334	unresolved
SEQ00002	chr1	R	0.31551975725681713	unresolved
SEQ00003	chr1	L	-0.0	unresolved
SEQ00003	chr1	R	-0.0	unresolved
SEQ00004	chr1	L	0.31518895367011424	unresolved
SEQ00004	chr1	R	-0.0	unresolved
SEQ00005	chr1	L	1.3904065735150113	unresolved
SEQ00005	chr1	R	0.0	forbidden
SEQ00006	chr1	L	0.0	forbidden
SEQ00006	chr1	R	1.8399386619731737	unresolved
SEQ00007	chr1	L	-0.0	unresolved
SEQ00007	chr1	R	-0.0	unresolved
SEQ00008	chr1	L	0.8038545592613701	unresolved
SEQ00008	chr1	R	0.0	forbidden
SEQ00009	chr1	L	0.0	forbidden
SEQ00009	chr1	R	0.0	forbidden
SEQ00010	chr1	L	0.0	forbidden
SEQ00010	chr1	R	1.7510638225198287	unresolved
SEQ00011	chr1	L	-0.0	unresolved
SEQ00011	chr1	R	-0.0	unresolved
SEQ00012	chr1	L	2.029919087478068	unresolved
SEQ00012	chr1	R	0.0	forbidden
SEQ00013	chr1	L	0.0	forbidden
SEQ00013	chr1	R	0.0	forbidden
SEQ00014	chr1	L	0.0	forbidden
SEQ00014	chr1	R	0.0	forbidden
SEQ00015	chr1	L	0.0	forbidden
SEQ00015	chr1	R	0.0	forbidden
SEQ00016	chr1	L	0.0	forbidden
SEQ00016	chr1	R	0.0	forbidden
SEQ00017	chr1	L	0.0	forbidden
SEQ00017	chr1	R	0.0	forbidden
SEQ00018	chr1	L	0.0	forbidden
SEQ00018	chr1	R	0.0	forbidden
SEQ00019	chr1	L	0.0	forbidden
SEQ00019	chr1	R	0.0	forbidden
SEQ00020	chr1	L	0.0	forbidden
SEQ00020	chr1	R	2.0449907251734833	telomere
SEQ00021	chr10	L	1.349268061904915	telomere
SEQ00021	chr10	R	-0.0	unresolved
SEQ00022	chr10	L	0.08987897598634609	unresolved
SEQ00022	chr10	R	0.10440864790423299	unresolved
SEQ00023	chr10	L	-0.0	unresolved
SEQ00023	chr10	R	0.0	forbidden
SEQ00024	chr10	L	0.0	forbidden
SEQ00024	chr10	R	-0.0	unresolved
SEQ00025	chr10	L	0.39765911531402565	unresolved
SEQ00025	chr10	R	0.0	forbidden
SEQ00026	chr10	L	0.0	forbidden
SEQ00026	chr10	R	0.0	forbidden
SEQ00027	chr10	L	0.0	forbidden
SEQ00027	chr10	R	-0.0	unresolved
SEQ00028	chr10	L	0.36689558377860476	unresolved
SEQ00028	chr10	R	0.0	forbidden
SEQ00029	chr10	L	0.0	forbidden
SEQ00029	chr10	R	-0.0	unresolved
SEQ00030	chr10	L	0.8587088537372587	unresolved
SEQ00030	chr10	R	0.8678410498300848	unresolved
SEQ00031	chr10	L	-0.0	unresolved
SEQ00031	chr10	R	0.38789665517943983	unresolved
SEQ00032	chr10	L	-0.0	unresolved
SEQ00032	chr10	R	-0.0	unresolved
SEQ00033	chr10	L	0.41895215086298365	unresolved
SEQ00033	chr10	R	0.43153995802529765	unresolved
SEQ00034	chr10	L	-0.0	unresolved
SEQ00034	chr10	R	-0.0	unresolved
SEQ00035	chr10	L	0.4937819017666669	unresolved
SEQ00035	chr10	R	0.3988023515544077	unresolved
SEQ00036	chr10	L	-0.0	unresolved
SEQ00036	chr10	R	-0.0	unresolved
SEQ00037	chr10	L	0.27778323368070446	unresolved
SEQ00037	chr10	R	0.37303213714613737	unresolved
SEQ00038	chr10	L	-0.0	unresolved
SEQ00038	chr10	R	1.689407077391905	telomere
SEQ00039	chr11	L	1.4324988690670706	telomere
SEQ00039	chr11	R	-0.0	unresolved
SEQ00040	chr11	L	0.28076100293583295	unresolved
SEQ00040	chr11	R	0.11882739704592926	unresolved
SEQ00041	chr11	L	-0.0	unresolved
SEQ00041	chr11	R	-0.0	unresolved
SEQ00042	chr11	L	0.08793865701461079	unresolved
