segment_id	chrom	start	end	parent_cnv_segment	sequence_cn	balanced_sequence_cn
SEQ001	chr18	0	22950000	CNSEG001	1.9830093775307454	1.9830093775307454
SEQ002	chr18	22950000	24550000	CNSEG001	1.9830093775307454	1.9830093775307454
SEQ003	chr18	24550000	25600000	CNSEG002	0.5829645253090286	0.5829645253090286
SEQ004	chr18	25600000	26000000	CNSEG002	0.5829645253090286	0.5829645253090286
SEQ005	chr18	26000000	26400000	CNSEG003	1.5772955343378208	1.5772955343378208
SEQ006	chr18	26400000	27500000	CNSEG004	1.4175886912335902	1.4175886912335902
SEQ007	chr18	27500000	28250000	CNSEG005	2.1655943069148993	2.1655943069148993
SEQ008	chr18	28250000	28300000	CNSEG005	2.1655943069148993	2.1655943069148993
SEQ009	chr18	28300000	28350000	CNSEG005	2.1655943069148993	2.1655943069148993
SEQ010	chr18	28350000	29350000	CNSEG006	1.4637762064653126	1.4637762064653126
SEQ011	chr18	29350000	29600000	CNSEG007	2.47933806409337	2.47933806409337
SEQ012	chr18	29600000	31450000	CNSEG007	2.47933806409337	2.47933806409337
SEQ013	chr18	31450000	37150000	CNSEG008	1.4547588270840053	1.4547588270840053
SEQ014	chr18	37150000	37300000	CNSEG008	1.4547588270840053	1.4547588270840053
SEQ015	chr18	37300000	37800000	CNSEG009	2.289464190498857	2.289464190498857
SEQ016	chr18	37800000	39450000	CNSEG010	2.0978037212223186	2.0978037212223186
SEQ017	chr18	39450000	39700000	CNSEG010	2.0978037212223186	2.0978037212223186
SEQ018	chr18	39700000	41500000	CNSEG011	1.4376355604500226	1.4376355604500226
SEQ019	chr18	41500000	42000000	CNSEG012	2.10345798260873	2.10345798260873
SEQ020	chr18	42000000	46600000	CNSEG013	1.472462609587849	1.472462609587849
SEQ021	chr18	46600000	47050000	CNSEG014	1.1405731689501974	1.1405731689501974
SEQ022	chr18	47050000	48050000	CNSEG014	1.1405731689501974	1.1405731689501974
SEQ023	chr18	48050000	49750000	CNSEG015	0.7614810290059989	0.7614810290059989
SEQ024	chr18	49750000	50550000	CNSEG015	0.7614810290059989	0.7614810290059989
SEQ025	chr18	50550000	52550000	CNSEG016	0.037561279018320175	0.037561279018320175
SEQ026	chr18	52550000	64500000	CNSEG017	0.7412643325773002	0.7412643325773002
SEQ027	chr18	64500000	64700000	CNSEG018	2.048059174959969	2.048059174959969
SEQ028	chr18	64700000	65000000	CNSEG018	2.048059174959969	2.048059174959969
SEQ029	chr18	65000000	65800000	CNSEG019	0.7380190698399283	0.7380190698399283
SEQ030	chr18	65800000	69850000	CNSEG020	0.04487139976912208	0.04487139976912208
SEQ031	chr18	69850000	70200000	CNSEG021	0.8523276263810552	0.8523276263810552
SEQ032	chr18	70200000	71250000	CNSEG022	1.409747710553653	1.409747710553653
SEQ033	chr18	71250000	71950000	CNSEG023	1.918000903557147	1.918000903557147
SEQ034	chr18	71950000	77550000	CNSEG024	1.3647200157556476	1.3647200157556476
SEQ035	chr18	77550000	79000000	CNSEG025	1.0866316698185667	1.0866316698185667
SEQ036	chr18	79000000	79850000	CNSEG026	1.2795681610091076	1.2795681610091076
SEQ037	chr18	79850000	80373285	CNSEG027	0.6199097069793694	0.6199097069793694
