walk_id	walk_cn	circular	order	node_id	chrom	start	end	strand	old_walk_cn	capacity_scale
1	0.03758497699482072	False	1	5	chr18	26000000	26400000	+	0.09	0.417610855498008
1	0.03758497699482072	False	2	6	chr18	26400000	27500000	+	0.09	0.417610855498008
1	0.03758497699482072	False	3	7	chr18	27500000	28250000	+	0.09	0.417610855498008
1	0.03758497699482072	False	4	8	chr18	28250000	28300000	+	0.09	0.417610855498008
1	0.03758497699482072	False	5	9	chr18	28300000	28350000	+	0.09	0.417610855498008
1	0.03758497699482072	False	6	10	chr18	28350000	29350000	+	0.09	0.417610855498008
1	0.03758497699482072	False	7	11	chr18	29350000	29600000	+	0.09	0.417610855498008
1	0.03758497699482072	False	8	12	chr18	29600000	31450000	+	0.09	0.417610855498008
1	0.03758497699482072	False	9	13	chr18	31450000	37150000	+	0.09	0.417610855498008
1	0.03758497699482072	False	10	14	chr18	37150000	37300000	+	0.09	0.417610855498008
1	0.03758497699482072	False	11	15	chr18	37300000	37800000	+	0.09	0.417610855498008
1	0.03758497699482072	False	12	16	chr18	37800000	39450000	+	0.09	0.417610855498008
1	0.03758497699482072	False	13	17	chr18	39450000	39700000	+	0.09	0.417610855498008
1	0.03758497699482072	False	14	18	chr18	39700000	41500000	+	0.09	0.417610855498008
1	0.03758497699482072	False	15	19	chr18	41500000	42000000	+	0.09	0.417610855498008
1	0.03758497699482072	False	16	20	chr18	42000000	46600000	+	0.09	0.417610855498008
1	0.03758497699482072	False	17	21	chr18	46600000	47050000	+	0.09	0.417610855498008
1	0.03758497699482072	False	18	22	chr18	47050000	48050000	+	0.09	0.417610855498008
1	0.03758497699482072	False	19	26	chr18	52550000	64500000	+	0.09	0.417610855498008
1	0.03758497699482072	False	20	27	chr18	64500000	64700000	+	0.09	0.417610855498008
1	0.03758497699482072	False	21	28	chr18	64700000	65000000	+	0.09	0.417610855498008
1	0.03758497699482072	False	22	29	chr18	65000000	65800000	+	0.09	0.417610855498008
2	0.0041761085549800805	False	1	5	chr18	26000000	26400000	+	0.01	0.417610855498008
2	0.0041761085549800805	False	2	6	chr18	26400000	27500000	+	0.01	0.417610855498008
