walk_id	walk_cn	order	edge_id	type	label	edge_cn
1	0.03	1	3	REF	REF003	0.7
1	0.03	2	4	REF	REF004	0.7
1	0.03	3	5	REF	REF005	0.7
1	0.03	4	6	REF	REF006	0.7
1	0.03	5	7	REF	REF007	1.43
1	0.03	6	8	REF	REF008	1.43
1	0.03	7	9	REF	REF009	0.67
1	0.03	8	10	REF	REF010	0.67
1	0.03	9	11	REF	REF011	0.51
1	0.03	10	12	REF	REF012	0.78
1	0.03	11	13	REF	REF013	0.78
1	0.03	12	14	REF	REF014	0.78
1	0.03	13	15	REF	REF015	0.78
1	0.03	14	16	REF	REF016	0.78
1	0.03	15	17	REF	REF017	0.78
1	0.03	16	18	REF	REF018	0.7
1	0.03	17	19	REF	REF019	0.06
1	0.03	18	20	REF	REF020	0.06
1	0.03	19	21	REF	REF021	0.7
1	0.03	20	22	REF	REF022	0.66
1	0.03	21	23	REF	REF023	0.7
1	0.03	22	24	REF	REF024	1.26
1	0.03	23	25	REF	REF025	1.26
1	0.03	24	26	REF	REF026	1.26
1	0.03	25	27	REF	REF027	1.39
1	0.03	26	28	REF	REF028	1.45
1	0.03	27	29	REF	REF029	0.93
1	0.03	28	30	REF	REF030	2.05
1	0.03	29	31	REF	REF031	1.46
1	0.03	30	32	REF	REF032	0.97
1	0.03	31	50	ALT	SV09	0.71
1	0.03	32	26	REF	REF026	1.26
1	0.03	33	25	REF	REF025	1.26
1	0.03	34	24	REF	REF024	1.26
1	0.03	35	23	REF	REF023	0.7
1	0.03	36	22	REF	REF022	0.66
1	0.03	37	21	REF	REF021	0.7
1	0.03	38	20	REF	REF020	0.06
1	0.03	39	19	REF	REF019	0.06
1	0.03	40	18	REF	REF018	0.7
1	0.03	41	17	REF	REF017	0.78
1	0.03	42	16	REF	REF016	0.78
1	0.03	43	15	REF	REF015	0.78
1	0.03	44	14	REF	REF014	0.78
1	0.03	45	13	REF	REF013	0.78
1	0.03	46	12	REF	REF012	0.78
1	0.03	47	11	REF	REF011	0.51
1	0.03	48	10	REF	REF010	0.67
1	0.03	49	9	REF	REF009	0.67
1	0.03	50	8	REF	REF008	1.43
1	0.03	51	7	REF	REF007	1.43
1	0.03	52	6	REF	REF006	0.7
1	0.03	53	5	REF	REF005	0.7
1	0.03	54	4	REF	REF004	0.7
1	0.03	55	3	REF	REF003	0.7
2	0.01	1	22	REF	REF022	0.66
2	0.01	2	23	REF	REF023	0.7
2	0.01	3	24	REF	REF024	1.26
2	0.01	4	25	REF	REF025	1.26
2	0.01	5	26	REF	REF026	1.26
2	0.01	6	50	ALT	SV09	0.71
2	0.01	7	32	REF	REF032	0.97
2	0.01	8	31	REF	REF031	1.46
2	0.01	9	30	REF	REF030	2.05
2	0.01	10	29	REF	REF029	0.93
2	0.01	11	28	REF	REF028	1.45
2	0.01	12	27	REF	REF027	1.39
2	0.01	13	26	REF	REF026	1.26
2	0.01	14	25	REF	REF025	1.26
2	0.01	15	24	REF	REF024	1.26
2	0.01	16	23	REF	REF023	0.7
2	0.01	17	22	REF	REF022	0.66
3	0.04	1	22	REF	REF022	0.66
3	0.04	2	23	REF	REF023	0.7
3	0.04	3	24	REF	REF024	1.26
3	0.04	4	25	REF	REF025	1.26
3	0.04	5	26	REF	REF026	1.26
3	0.04	6	50	ALT	SV09	0.71
3	0.04	7	32	REF	REF032	0.97
3	0.04	8	31	REF	REF031	1.46
3	0.04	9	30	REF	REF030	2.05
3	0.04	10	29	REF	REF029	0.93
3	0.04	11	28	REF	REF028	1.45
3	0.04	12	27	REF	REF027	1.39
3	0.04	13	26	REF	REF026	1.26
3	0.04	14	25	REF	REF025	1.26
3	0.04	15	24	REF	REF024	1.26
3	0.04	16	23	REF	REF023	0.7
4	0.18	1	61	ALT	EXT03	0.63
4	0.18	2	21	REF	REF021	0.7
4	0.18	3	22	REF	REF022	0.66
4	0.18	4	23	REF	REF023	0.7
4	0.18	5	24	REF	REF024	1.26
4	0.18	6	25	REF	REF025	1.26
4	0.18	7	26	REF	REF026	1.26
4	0.18	8	27	REF	REF027	1.39
4	0.18	9	28	REF	REF028	1.45
5	0.01	1	21	REF	REF021	0.7
5	0.01	2	22	REF	REF022	0.66
5	0.01	3	23	REF	REF023	0.7
5	0.01	4	24	REF	REF024	1.26
5	0.01	5	25	REF	REF025	1.26
5	0.01	6	26	REF	REF026	1.26
5	0.01	7	27	REF	REF027	1.39
5	0.01	8	28	REF	REF028	1.45
6	0.44	1	3	REF	REF003	0.7
