sequence_cn_source	CNVkit CBS .cns
sequence_cn_conversion	CN=ploidy*2^log2
nominal_ploidy	2.0
reference_ploidy_cap	None
breakpoint_reference_ploidy_cap	None
sequence_cn_optimization	latent_parent_CBS_CN
sv_read_likelihood	Poisson
chromosome	X
parent_cnv_segments	51
graph_sequence_segments	69
sv_edges	21
intrachrom_sv_edges	21
interchrom_sv_edges	0
cnv_snap_tolerance_bp	100000
cnv_snap_min_jump	0.25
cnv_snapped_boundaries	22
optimization_model	lexicographic_latent_CN_Poisson_hard_flow_sparse_source
objective	stage1_CN_Laplace_plus_Poisson;stage2_min_source_locations;stage3_min_source_mass
flow_conservation	hard_equality
eaglec_probability_role	candidate_selection_only
cn_junction_target	disabled
reciprocal_continuation	SV_tied_0_le_U_le_JCN
likelihood_tolerance	1.0
source_penalty_form	location_sparsity_then_mass
source_location_solver	likelihood-constrained_backward_elimination
ordinary_internal_source	hard_zero
non_cn_step_paired_breakend_source	hard_zero
cn_step_latent_endpoint	allowed_sparse
junction_window_bp	50000
shared_junction_yield_a	700.765774417
background_model	local_background_pairs
solver_status	CVXPY lexicographic CLARABEL: optimal_inaccurate
stage1_minimum_data_nll	-115673.257
objective_value	43.72424249
max_flow_residual_cn	1.429627532e-07
active_unresolved_source_locations	36
max_abs_latent_cn_shift	5.711734426
total_junction_cn	25.37444514
total_source_cn	65.38169739
total_generic_source_cn	43.72424249
total_reciprocal_source_cn	21.65745489
ordinary_side_median_connected_fraction	0.9999986286
ordinary_boundary_median_reference_ratio	0.9999999725
