walk_id	walk_cn	circular	order	node_id	chrom	start	end	strand
1	0.03	FALSE	1	3	chrX	2750000	3700000	+
1	0.03	FALSE	2	4	chrX	3700000	7250000	+
1	0.03	FALSE	3	5	chrX	7250000	7650000	+
1	0.03	FALSE	4	6	chrX	7650000	10900000	+
1	0.03	FALSE	5	7	chrX	10900000	11300000	+
1	0.03	FALSE	6	8	chrX	11300000	24450000	+
1	0.03	FALSE	7	9	chrX	24450000	38300000	+
1	0.03	FALSE	8	10	chrX	38300000	40550000	+
1	0.03	FALSE	9	11	chrX	40550000	48000000	+
1	0.03	FALSE	10	12	chrX	48000000	50500000	+
1	0.03	FALSE	11	13	chrX	50500000	51950000	+
1	0.03	FALSE	12	14	chrX	51950000	52200000	+
1	0.03	FALSE	13	15	chrX	52200000	52650000	+
1	0.03	FALSE	14	16	chrX	52650000	53700000	+
1	0.03	FALSE	15	17	chrX	53700000	54000000	+
1	0.03	FALSE	16	18	chrX	54000000	55000000	+
1	0.03	FALSE	17	19	chrX	55000000	55600000	+
1	0.03	FALSE	18	20	chrX	55600000	62400000	+
1	0.03	FALSE	19	21	chrX	62400000	89250000	+
1	0.03	FALSE	20	22	chrX	89250000	92850000	+
1	0.03	FALSE	21	23	chrX	92850000	118000000	+
1	0.03	FALSE	22	24	chrX	118000000	118250000	+
1	0.03	FALSE	23	25	chrX	118250000	119000000	+
1	0.03	FALSE	24	26	chrX	119000000	119100000	+
1	0.03	FALSE	25	27	chrX	119100000	122700000	+
1	0.03	FALSE	26	28	chrX	122700000	126100000	+
1	0.03	FALSE	27	29	chrX	126100000	126150000	+
1	0.03	FALSE	28	30	chrX	126150000	130050000	+
1	0.03	FALSE	29	31	chrX	130050000	130100000	+
1	0.03	FALSE	30	32	chrX	130100000	131250000	+
1	0.03	FALSE	31	33	chrX	131250000	131950000	+
1	0.03	FALSE	32	27	chrX	119100000	122700000	-
1	0.03	FALSE	33	26	chrX	119000000	119100000	-
1	0.03	FALSE	34	25	chrX	118250000	119000000	-
1	0.03	FALSE	35	24	chrX	118000000	118250000	-
1	0.03	FALSE	36	23	chrX	92850000	118000000	-
1	0.03	FALSE	37	22	chrX	89250000	92850000	-
1	0.03	FALSE	38	21	chrX	62400000	89250000	-
1	0.03	FALSE	39	20	chrX	55600000	62400000	-
1	0.03	FALSE	40	19	chrX	55000000	55600000	-
1	0.03	FALSE	41	18	chrX	54000000	55000000	-
1	0.03	FALSE	42	17	chrX	53700000	54000000	-
1	0.03	FALSE	43	16	chrX	52650000	53700000	-
1	0.03	FALSE	44	15	chrX	52200000	52650000	-
1	0.03	FALSE	45	14	chrX	51950000	52200000	-
1	0.03	FALSE	46	13	chrX	50500000	51950000	-
1	0.03	FALSE	47	12	chrX	48000000	50500000	-
1	0.03	FALSE	48	11	chrX	40550000	48000000	-
1	0.03	FALSE	49	10	chrX	38300000	40550000	-
1	0.03	FALSE	50	9	chrX	24450000	38300000	-
1	0.03	FALSE	51	8	chrX	11300000	24450000	-
1	0.03	FALSE	52	7	chrX	10900000	11300000	-
1	0.03	FALSE	53	6	chrX	7650000	10900000	-
1	0.03	FALSE	54	5	chrX	7250000	7650000	-
1	0.03	FALSE	55	4	chrX	3700000	7250000	-
1	0.03	FALSE	56	3	chrX	2750000	3700000	-
2	0.01	FALSE	1	22	chrX	89250000	92850000	+
2	0.01	FALSE	2	23	chrX	92850000	118000000	+
2	0.01	FALSE	3	24	chrX	118000000	118250000	+
2	0.01	FALSE	4	25	chrX	118250000	119000000	+
2	0.01	FALSE	5	26	chrX	119000000	119100000	+
2	0.01	FALSE	6	27	chrX	119100000	122700000	+
2	0.01	FALSE	7	33	chrX	131250000	131950000	-
2	0.01	FALSE	8	32	chrX	130100000	131250000	-
2	0.01	FALSE	9	31	chrX	130050000	130100000	-
2	0.01	FALSE	10	30	chrX	126150000	130050000	-
2	0.01	FALSE	11	29	chrX	126100000	126150000	-
2	0.01	FALSE	12	28	chrX	122700000	126100000	-
2	0.01	FALSE	13	27	chrX	119100000	122700000	-
2	0.01	FALSE	14	26	chrX	119000000	119100000	-
2	0.01	FALSE	15	25	chrX	118250000	119000000	-
2	0.01	FALSE	16	24	chrX	118000000	118250000	-
2	0.01	FALSE	17	23	chrX	92850000	118000000	-
2	0.01	FALSE	18	22	chrX	89250000	92850000	-
3	0.04	FALSE	1	22	chrX	89250000	92850000	+
3	0.04	FALSE	2	23	chrX	92850000	118000000	+
3	0.04	FALSE	3	24	chrX	118000000	118250000	+
3	0.04	FALSE	4	25	chrX	118250000	119000000	+
3	0.04	FALSE	5	26	chrX	119000000	119100000	+
3	0.04	FALSE	6	27	chrX	119100000	122700000	+
3	0.04	FALSE	7	33	chrX	131250000	131950000	-
3	0.04	FALSE	8	32	chrX	130100000	131250000	-
3	0.04	FALSE	9	31	chrX	130050000	130100000	-
3	0.04	FALSE	10	30	chrX	126150000	130050000	-
3	0.04	FALSE	11	29	chrX	126100000	126150000	-
3	0.04	FALSE	12	28	chrX	122700000	126100000	-
3	0.04	FALSE	13	27	chrX	119100000	122700000	-
3	0.04	FALSE	14	26	chrX	119000000	119100000	-
3	0.04	FALSE	15	25	chrX	118250000	119000000	-
3	0.04	FALSE	16	24	chrX	118000000	118250000	-
3	0.04	FALSE	17	23	chrX	92850000	118000000	-
4	0.18	FALSE	1	45	chr20	24650000	24650001	-
4	0.18	FALSE	2	21	chrX	62400000	89250000	+
4	0.18	FALSE	3	22	chrX	89250000	92850000	+
4	0.18	FALSE	4	23	chrX	92850000	118000000	+
4	0.18	FALSE	5	24	chrX	118000000	118250000	+
4	0.18	FALSE	6	25	chrX	118250000	119000000	+
4	0.18	FALSE	7	26	chrX	119000000	119100000	+
4	0.18	FALSE	8	27	chrX	119100000	122700000	+
4	0.18	FALSE	9	28	chrX	122700000	126100000	+
4	0.18	FALSE	10	29	chrX	126100000	126150000	+
5	0.01	FALSE	1	21	chrX	62400000	89250000	+
5	0.01	FALSE	2	22	chrX	89250000	92850000	+
5	0.01	FALSE	3	23	chrX	92850000	118000000	+
5	0.01	FALSE	4	24	chrX	118000000	118250000	+
5	0.01	FALSE	5	25	chrX	118250000	119000000	+
5	0.01	FALSE	6	26	chrX	119000000	119100000	+
5	0.01	FALSE	7	27	chrX	119100000	122700000	+
5	0.01	FALSE	8	28	chrX	122700000	126100000	+
5	0.01	FALSE	9	29	chrX	126100000	126150000	+
6	0.44	FALSE	1	3	chrX	2750000	3700000	+
6	0.44	FALSE	2	4	chrX	3700000	7250000	+
6	0.44	FALSE	3	5	chrX	7250000	7650000	+
6	0.44	FALSE	4	6	chrX	7650000	10900000	+
6	0.44	FALSE	5	7	chrX	10900000	11300000	+
6	0.44	FALSE	6	8	chrX	11300000	24450000	+
6	0.44	FALSE	7	9	chrX	24450000	38300000	+
6	0.44	FALSE	8	10	chrX	38300000	40550000	+
6	0.44	FALSE	9	11	chrX	40550000	48000000	+
6	0.44	FALSE	10	12	chrX	48000000	50500000	+
6	0.44	FALSE	11	13	chrX	50500000	51950000	+
6	0.44	FALSE	12	14	chrX	51950000	52200000	+
6	0.44	FALSE	13	15	chrX	52200000	52650000	+
6	0.44	FALSE	14	16	chrX	52650000	53700000	+
6	0.44	FALSE	15	17	chrX	53700000	54000000	+
6	0.44	FALSE	16	18	chrX	54000000	55000000	+
6	0.44	FALSE	17	19	chrX	55000000	55600000	+
