walk_id	walk_cn	circular	order	node_id	chrom	start	end	strand
1	1.11	FALSE	1	39	X	77775000	77800000	+
1	1.11	FALSE	2	40	X	77800000	88450000	+
1	1.11	FALSE	3	41	X	88450000	92350000	+
1	1.11	FALSE	4	42	X	92350000	117140000	+
2	0.02	FALSE	1	41	X	88450000	92350000	+
2	0.02	FALSE	2	42	X	92350000	117140000	+
3	0.28	FALSE	1	10	X	11650000	12750000	+
3	0.28	FALSE	2	11	X	12750000	24450000	+
3	0.28	FALSE	3	47	X	118270000	121850000	-
3	0.28	FALSE	4	65	X	143760000	145590000	-
3	0.28	FALSE	5	64	X	142150000	143760000	-
3	0.28	FALSE	6	53	X	125280000	129200000	+
3	0.28	FALSE	7	54	X	129200000	129240000	+
3	0.28	FALSE	8	55	X	129240000	130400000	+
4	0.56	FALSE	1	11	X	12750000	24450000	+
4	0.56	FALSE	2	47	X	118270000	121850000	-
4	0.56	FALSE	3	65	X	143760000	145590000	-
4	0.56	FALSE	4	64	X	142150000	143760000	-
4	0.56	FALSE	5	53	X	125280000	129200000	+
4	0.56	FALSE	6	62	X	141090000	141150000	-
4	0.56	FALSE	7	54	X	129200000	129240000	-
5	0.01	FALSE	1	37	X	72250000	77350000	-
5	0.01	FALSE	2	36	X	61700000	72250000	-
5	0.01	FALSE	3	35	X	60900000	61700000	-
5	0.01	FALSE	4	34	X	60100000	60900000	-
5	0.01	FALSE	5	33	X	59300000	60100000	-
5	0.01	FALSE	6	32	X	58550000	59300000	-
5	0.01	FALSE	7	31	X	55640000	58550000	-
6	1.1	FALSE	1	32	X	58550000	59300000	+
6	1.1	FALSE	2	33	X	59300000	60100000	+
6	1.1	FALSE	3	34	X	60100000	60900000	+
6	1.1	FALSE	4	35	X	60900000	61700000	+
6	1.1	FALSE	5	36	X	61700000	72250000	+
6	1.1	FALSE	6	37	X	72250000	77350000	+
7	0.99	FALSE	1	10	X	11650000	12750000	+
7	0.99	FALSE	2	11	X	12750000	24450000	+
7	0.99	FALSE	3	47	X	118270000	121850000	-
7	0.99	FALSE	4	65	X	143760000	145590000	-
8	0.43	FALSE	1	10	X	11650000	12750000	+
8	0.43	FALSE	2	11	X	12750000	24450000	+
8	0.43	FALSE	3	47	X	118270000	121850000	-
8	0.43	FALSE	4	46	X	118200000	118270000	-
8	0.43	FALSE	5	57	X	130500000	130950000	-
8	0.43	FALSE	6	56	X	130400000	130500000	-
8	0.43	FALSE	7	12	X	24450000	24480000	-
9	1.98	FALSE	1	15	X	38125000	38160000	+
9	1.98	FALSE	2	21	X	47880000	48400000	+
9	1.98	FALSE	3	14	X	25450000	38125000	-
9	1.98	FALSE	4	13	X	24480000	25450000	-
9	1.98	FALSE	5	67	X	153330000	154950000	+
10	0.01	FALSE	1	8	X	11275000	11300000	+
10	0.01	FALSE	2	24	X	49400000	50275000	-
10	0.01	FALSE	3	23	X	48450000	49400000	-
10	0.01	FALSE	4	5	X	7580000	10650000	-
10	0.01	FALSE	5	3	X	3650000	7160000	-
10	0.01	FALSE	6	2	X	2700000	3650000	-
10	0.01	FALSE	7	1	X	50000	2700000	-
11	0.92	FALSE	1	16	X	38160000	39950000	+
11	0.92	FALSE	2	17	X	39950000	40550000	+
11	0.92	FALSE	3	18	X	40550000	41700000	+
11	0.92	FALSE	4	19	X	41700000	44350000	+
11	0.92	FALSE	5	20	X	44350000	47880000	+
11	0.92	FALSE	6	21	X	47880000	48400000	+
11	0.92	FALSE	7	22	X	48400000	48450000	+
11	0.92	FALSE	8	23	X	48450000	49400000	+
12	0.33	FALSE	1	12	X	24450000	24480000	+
12	0.33	FALSE	2	56	X	130400000	130500000	+
12	0.33	FALSE	3	57	X	130500000	130950000	+
12	0.33	FALSE	4	58	X	130950000	131100000	+
12	0.33	FALSE	5	59	X	131100000	136300000	+
12	0.33	FALSE	6	60	X	136300000	140300000	+
12	0.33	FALSE	7	61	X	140300000	141090000	+
13	0.68	FALSE	1	59	X	131100000	136300000	+
13	0.68	FALSE	2	60	X	136300000	140300000	+
13	0.68	FALSE	3	61	X	140300000	141090000	+
14	0.16	FALSE	1	17	X	39950000	40550000	+
14	0.16	FALSE	2	18	X	40550000	41700000	+
14	0.16	FALSE	3	19	X	41700000	44350000	+
14	0.16	FALSE	4	20	X	44350000	47880000	+
14	0.16	FALSE	5	21	X	47880000	48400000	+
14	0.16	FALSE	6	22	X	48400000	48450000	+
14	0.16	FALSE	7	23	X	48450000	49400000	+
15	0.82	FALSE	1	2	X	2700000	3650000	+
15	0.82	FALSE	2	3	X	3650000	7160000	+
15	0.82	FALSE	3	5	X	7580000	10650000	+
15	0.82	FALSE	4	23	X	48450000	49400000	+
15	0.82	FALSE	5	24	X	49400000	50275000	+
15	0.82	FALSE	6	8	X	11275000	11300000	-
16	0.22	FALSE	1	49	X	121870000	122700000	+
16	0.22	FALSE	2	50	X	122700000	123200000	+
16	0.22	FALSE	3	51	X	123200000	123300000	+
16	0.22	FALSE	4	52	X	123300000	125280000	+
16	0.22	FALSE	5	53	X	125280000	129200000	+
16	0.22	FALSE	6	54	X	129200000	129240000	+
16	0.22	FALSE	7	55	X	129240000	130400000	+
17	0.17	FALSE	1	45	X	118180000	118200000	-
17	0.17	FALSE	2	44	X	117450000	118180000	-
17	0.17	FALSE	3	43	X	117140000	117450000	-
17	0.17	FALSE	4	64	X	142150000	143760000	-
17	0.17	FALSE	5	53	X	125280000	129200000	+
17	0.17	FALSE	6	54	X	129200000	129240000	+
17	0.17	FALSE	7	55	X	129240000	130400000	+
18	0.56	FALSE	1	44	X	117450000	118180000	-
18	0.56	FALSE	2	43	X	117140000	117450000	-
18	0.56	FALSE	3	64	X	142150000	143760000	-
18	0.56	FALSE	4	53	X	125280000	129200000	+
18	0.56	FALSE	5	54	X	129200000	129240000	+
18	0.56	FALSE	6	55	X	129240000	130400000	+
19	0.94	FALSE	1	66	X	145590000	153330000	+
20	1.45	FALSE	1	54	X	129200000	129240000	+
20	1.45	FALSE	2	62	X	141090000	141150000	+
20	1.45	FALSE	3	53	X	125280000	129200000	-
20	1.45	FALSE	4	64	X	142150000	143760000	+
20	1.45	FALSE	5	43	X	117140000	117450000	+
21	0.02	FALSE	1	4	X	7160000	7580000	+
21	0.02	FALSE	2	5	X	7580000	10650000	+
21	0.02	FALSE	3	23	X	48450000	49400000	+
21	0.02	FALSE	4	24	X	49400000	50275000	+
21	0.02	FALSE	5	8	X	11275000	11300000	-
22	1.24	FALSE	1	59	X	131100000	136300000	+
23	0.21	FALSE	1	37	X	72250000	77350000	+
24	0.23	FALSE	1	20	X	44350000	47880000	+
24	0.23	FALSE	2	21	X	47880000	48400000	+
24	0.23	FALSE	3	22	X	48400000	48450000	+
24	0.23	FALSE	4	23	X	48450000	49400000	+
25	0.14	FALSE	1	5	X	7580000	10650000	+
25	0.14	FALSE	2	23	X	48450000	49400000	+
25	0.14	FALSE	3	24	X	49400000	50275000	+
25	0.14	FALSE	4	8	X	11275000	11300000	-
26	0.01	FALSE	1	57	X	130500000	130950000	+
26	0.01	FALSE	2	46	X	118200000	118270000	+
26	0.01	FALSE	3	47	X	118270000	121850000	+
26	0.01	FALSE	4	48	X	121850000	121870000	+
26	0.01	FALSE	5	58	X	130950000	131100000	-
26	0.01	FALSE	6	57	X	130500000	130950000	-
26	0.01	FALSE	7	56	X	130400000	130500000	-
26	0.01	FALSE	8	12	X	24450000	24480000	-
27	0.9	FALSE	1	57	X	130500000	130950000	+
27	0.9	FALSE	2	46	X	118200000	118270000	+
27	0.9	FALSE	3	47	X	118270000	121850000	+
27	0.9	FALSE	4	48	X	121850000	121870000	+
27	0.9	FALSE	5	58	X	130950000	131100000	-
27	0.9	FALSE	6	57	X	130500000	130950000	-
28	0.48	FALSE	1	12	X	24450000	24480000	+
28	0.48	FALSE	2	56	X	130400000	130500000	+
28	0.48	FALSE	3	57	X	130500000	130950000	+
28	0.48	FALSE	4	58	X	130950000	131100000	+
28	0.48	FALSE	5	48	X	121850000	121870000	-
28	0.48	FALSE	6	47	X	118270000	121850000	-
29	2.27	FALSE	1	41	X	88450000	92350000	+
30	1.46	FALSE	1	49	X	121870000	122700000	+
30	1.46	FALSE	2	50	X	122700000	123200000	+
30	1.46	FALSE	3	51	X	123200000	123300000	+
30	1.46	FALSE	4	52	X	123300000	125280000	+
31	5.05	FALSE	1	32	X	58550000	59300000	+
31	5.05	FALSE	2	33	X	59300000	60100000	+
31	5.05	FALSE	3	34	X	60100000	60900000	+
31	5.05	FALSE	4	35	X	60900000	61700000	+
32	0.02	FALSE	1	13	X	24480000	25450000	-
32	0.02	FALSE	2	67	X	153330000	154950000	+
32	0.02	FALSE	3	68	X	154950000	155200000	+
33	0.1	FALSE	1	25	X	50275000	51700000	+
33	0.1	FALSE	2	26	X	51700000	52500000	+
33	0.1	FALSE	3	27	X	52500000	53000000	+
34	0.13	FALSE	1	13	X	24480000	25450000	-
34	0.13	FALSE	2	67	X	153330000	154950000	+
35	0.61	FALSE	1	25	X	50275000	51700000	+
35	0.61	FALSE	2	43	X	117140000	117450000	+
35	0.61	FALSE	3	44	X	117450000	118180000	+
36	4.25	FALSE	1	33	X	59300000	60100000	+
36	4.25	FALSE	2	34	X	60100000	60900000	+
36	4.25	FALSE	3	35	X	60900000	61700000	+
37	0.36	FALSE	1	49	X	121870000	122700000	+
37	0.36	FALSE	2	50	X	122700000	123200000	+
37	0.36	FALSE	3	28	X	53000000	54050000	+
38	0.34	FALSE	1	51	X	123200000	123300000	+
38	0.34	FALSE	2	52	X	123300000	125280000	+
39	0.91	FALSE	1	8	X	11275000	11300000	+
39	0.91	FALSE	2	24	X	49400000	50275000	-
39	0.91	FALSE	3	23	X	48450000	49400000	-
39	0.91	FALSE	4	22	X	48400000	48450000	-
40	0.03	FALSE	1	17	X	39950000	40550000	+
40	0.03	FALSE	2	18	X	40550000	41700000	+
41	0.3	FALSE	1	25	X	50275000	51700000	+
41	0.3	FALSE	2	43	X	117140000	117450000	+
42	7.5	FALSE	1	34	X	60100000	60900000	+
42	7.5	FALSE	2	35	X	60900000	61700000	+
43	0.98	FALSE	1	50	X	122700000	123200000	+
43	0.98	FALSE	2	28	X	53000000	54050000	+
44	0.97	FALSE	1	21	X	47880000	48400000	+
44	0.97	FALSE	2	22	X	48400000	48450000	+
44	0.97	FALSE	3	23	X	48450000	49400000	+
45	0.94	FALSE	1	55	X	129240000	130400000	+
46	0.25	FALSE	1	18	X	40550000	41700000	+
47	2.01	FALSE	1	63	X	141150000	142150000	+
48	0.08	FALSE	1	22	X	48400000	48450000	+
48	0.08	FALSE	2	23	X	48450000	49400000	+
49	2.68	TRUE	1	29	X	54050000	55030000	+
50	0.13	FALSE	1	13	X	24480000	25450000	+
51	1.36	FALSE	1	2	X	2700000	3650000	+
52	12.9	FALSE	1	35	X	60900000	61700000	+
53	0.5	FALSE	1	61	X	140300000	141090000	+
54	0.92	FALSE	1	12	X	24450000	24480000	+
54	0.92	FALSE	2	56	X	130400000	130500000	+
54	0.92	FALSE	3	57	X	130500000	130950000	+
54	0.92	FALSE	4	58	X	130950000	131100000	+
54	0.92	FALSE	5	48	X	121850000	121870000	-
55	1.17	FALSE	1	30	X	55030000	55640000	+
55	1.17	FALSE	2	45	X	118180000	118200000	+
56	1.24	FALSE	1	27	X	52500000	53000000	+
57	1.32	TRUE	1	38	X	77350000	77775000	+
58	1.9	TRUE	1	7	X	10925000	11275000	+
59	0.99	FALSE	1	6	X	10650000	10925000	+
60	1.34	FALSE	1	48	X	121850000	121870000	+
60	1.34	FALSE	2	58	X	130950000	131100000	-
