edge_id	chrom	boundary	reference_cn
REF001	chr18	22950000	1.4699014462357929
REF002	chr18	24550000	0.5820718823648465
REF003	chr18	25600000	0.30819882126976295
REF004	chr18	26000000	0.5829731278368553
REF005	chr18	26400000	1.4147001939487953
REF006	chr18	27500000	1.4175280648601842
REF007	chr18	28250000	1.4011463003568772
REF008	chr18	28300000	1.5284469303112274
REF009	chr18	28350000	1.462070214316334
REF010	chr18	29350000	0.795008827943046
REF011	chr18	29600000	1.4474624631473934
REF012	chr18	31450000	1.0183133614443758
REF013	chr18	37150000	0.6008501036258781
REF014	chr18	37300000	1.4552790612165445
REF015	chr18	37800000	2.097763747235742
REF016	chr18	39450000	0.9424128240634653
REF017	chr18	39700000	1.3996340654142747
REF018	chr18	41500000	1.033041574267317
REF019	chr18	42000000	1.3525217925560864
REF020	chr18	46600000	0.6754205400450596
REF021	chr18	47050000	0.7638849110741631
REF022	chr18	48050000	0.7151727177681519
REF023	chr18	49750000	0.3904367322768876
REF024	chr18	50550000	0.0
REF025	chr18	52550000	0.018219590868092442
REF026	chr18	64500000	0.2819283388671235
REF027	chr18	64700000	0.9630970450723478
REF028	chr18	65000000	0.41362470610605745
REF029	chr18	65800000	0.04636692384913614
REF030	chr18	69850000	0.0
REF031	chr18	70200000	0.8481500647561144
REF032	chr18	71250000	1.400755016601856
REF033	chr18	71950000	0.8813629044620119
REF034	chr18	77550000	1.0882436364846444
REF035	chr18	79000000	1.0867704099002606
REF036	chr18	79850000	0.6215568947007367
