edge_id	chrom	boundary	reference_cn
REF001	X	1850000	0.017123442750834078
REF002	X	2700000	0.017123447670855507
REF003	X	3650000	1.087161645037176
REF004	X	7160000	1.5171241763307972e-05
REF005	X	7580000	1.4628514794230369e-05
REF006	X	10650000	0.9801369626306048
REF007	X	10925000	6.343283957816622e-05
REF008	X	11275000	6.359259623597906e-05
REF009	X	11300000	0.004826932521723894
REF010	X	11650000	0.005013213557932204
REF011	X	12750000	1.6965447341275472
REF012	X	17600000	1.6024764248964711
REF013	X	18050000	1.6024764248996752
REF014	X	23450000	2.213300706198468
REF015	X	24450000	2.6767553816089755
REF016	X	24480000	1.1392221281095893
REF017	X	24550000	2.189497127507116
REF018	X	25450000	1.980681675193568
REF019	X	38125000	1.5853735760146368
REF020	X	38160000	1.0167903432821985
REF021	X	39950000	1.0168188632128305
REF022	X	40550000	1.0168188664949436
REF023	X	41700000	1.0779576262734112
REF024	X	44350000	1.0779576262893538
REF025	X	47880000	1.3093054212402953
REF026	X	48400000	3.86689427725269
REF027	X	48450000	4.155178241127083
REF028	X	49400000	1.9035604359295895
REF029	X	50275000	0.7870519959683362
REF030	X	51700000	1.7942532954304826e-05
REF031	X	52500000	0.1020488361798035
REF032	X	53000000	1.2673745822409646
REF033	X	54050000	1.1192379438264874
REF034	X	55030000	1.119237944058393
REF035	X	55640000	0.012002372749592942
REF036	X	72250000	1.1030509738405954
REF037	X	77350000	2.7329230961896918e-05
REF038	X	77775000	2.7329230961813255e-05
REF039	X	77800000	1.109492964785327
REF040	X	88450000	1.109492964782312
REF041	X	92350000	1.1320989636316074
REF042	X	117140000	0.28835190291316803
REF043	X	117450000	1.3379295457793376
REF044	X	118180000	0.5683808649764016
REF045	X	118200000	1.1809604781050884
REF046	X	118270000	1.3376584071505722
REF047	X	121850000	3.504660051480772
REF048	X	121870000	2.0409023036989358
REF049	X	122700000	2.0411765911595317
REF050	X	123200000	2.944813053983712
REF051	X	123300000	2.0154473674269204
REF052	X	125280000	2.015173666242292
REF053	X	129200000	3.0879946424971463
REF054	X	129240000	2.1725970240206984
REF055	X	130400000	0.8571706030688185
REF056	X	130500000	2.1728679683841534
REF057	X	130950000	3.8192534234671407
REF058	X	131100000	2.2542136486004085
REF059	X	136300000	1.0097517130608533
REF060	X	140300000	1.0097517130818077
REF061	X	141090000	1.44950625868357
REF062	X	141150000	1.8564794297454996
REF063	X	142150000	2.008891231862375
REF064	X	143760000	1.8319371072578368
REF065	X	145590000	0.854200579691729
REF066	X	153330000	0.9418571194320136
REF067	X	154950000	0.01817752520634188
