edge_id	chrom	boundary	reference_cn	boundary_capacity_cn	reference_continuity_ratio	is_sv_breakpoint
REF001	X	1850000	0.017123442750834078	0.017123472930226084	0.9999982375425751	False
REF002	X	2700000	0.017123447670855507	0.017123478463793446	0.9999982017124613	False
REF003	X	3650000	1.087161645037176	1.0871616755564677	0.99999997192755	False
REF004	X	7160000	1.5171241763307972e-05	0.016275356494243658	0.000932160335085367	True
REF005	X	7580000	1.4628514794230369e-05	0.016275356494243658	0.0008988137863157866	True
REF006	X	10650000	0.9801369626306048	1.0871611285822782	0.9015562981991094	True
REF007	X	10925000	6.343283957816622e-05	1.0871611285822782	5.83472292289243e-05	True
REF008	X	11275000	6.359259623597906e-05	7.613184421911616	8.352956228533264e-06	True
REF009	X	11300000	0.004826932521723894	0.005013244783084365	0.9628359935686517	True
REF010	X	11650000	0.005013213557932204	0.005013244783084365	0.9999937714686771	False
REF011	X	12750000	1.6965447341275472	1.6965447646289766	0.9999999820214415	False
REF012	X	17600000	1.6024764248964711	1.6024764554032054	0.9999999809627567	False
REF013	X	18050000	1.6024764248996752	1.6024764554032054	0.9999999809647561	False
REF014	X	23450000	2.213300706198468	2.21330073670046	0.9999999862187765	False
REF015	X	24450000	2.6767553816089755	2.8051905700610815	0.9542151646227338	True
REF016	X	24480000	1.1392221281095893	2.8051905700610815	0.40611220509157187	True
REF017	X	24550000	2.189497127507116	2.1894971580100204	0.9999999860685342	False
REF018	X	25450000	1.980681675193568	1.9806817056424335	0.999999984627078	False
REF019	X	38125000	1.5853735760146368	1.9806817056424335	0.8004181446712668	True
REF020	X	38160000	1.0167903432821985	1.0168188950763797	0.9999719204724465	True
REF021	X	39950000	1.0168188632128305	1.0168188950763797	0.9999999686634963	False
REF022	X	40550000	1.0168188664949436	1.0168188969769616	0.9999999700221759	False
REF023	X	41700000	1.0779576262734112	1.0779576567471247	0.9999999717301385	False
REF024	X	44350000	1.0779576262893538	1.0779576567471247	0.9999999717449282	False
REF025	X	47880000	1.3093054212402953	1.3095758193197578	0.9997935223944476	True
REF026	X	48400000	3.86689427725269	4.262202407237135	0.9072526144433639	True
REF027	X	48450000	4.155178241127083	4.262202407237135	0.9748899381389473	True
REF028	X	49400000	1.9035604359295895	1.9035604664550518	0.9999999839640175	False
REF029	X	50275000	0.7870519959683362	1.6568807194125914	0.47502031181059745	True
REF030	X	51700000	1.7942532954304826e-05	0.1020488667506714	0.0001758229515487175	True
REF031	X	52500000	0.1020488361798035	0.1020488667506714	0.9999997004291289	False
REF032	X	53000000	1.2673745822409646	1.340154250949747	0.945693065811488	True
REF033	X	54050000	1.1192379438264874	1.340154250949747	0.8351560598590053	True
REF034	X	55030000	1.119237944058393	1.1677233989984885	0.9584786474419545	True
REF035	X	55640000	0.012002372749592942	0.012217184644964392	0.9824172342799133	True
REF036	X	72250000	1.1030509738405954	1.1030510043664346	0.9999999723259948	False
REF037	X	77350000	2.7329230961896918e-05	2.7352349155979887	9.991548004176484e-06	True
REF038	X	77775000	2.7329230961813255e-05	2.7352349155979887	9.991548004145896e-06	True
REF039	X	77800000	1.109492964785327	1.109492995311089	0.9999999724867467	False
REF040	X	88450000	1.109492964782312	1.109492995311089	0.999999972484029	False
REF041	X	92350000	1.1320989636316074	1.132098994159987	0.999999973033825	False
REF042	X	117140000	0.28835190291316803	1.132098994159987	0.2547055552567857	True
REF043	X	117450000	1.3379295457793376	1.3379295763038248	0.9999999771852811	False
REF044	X	118180000	0.5683808649764016	1.3379295763038248	0.42482121259821104	True
REF045	X	118200000	1.1809604781050884	1.3379295763038248	0.8826776080155276	True
REF046	X	118270000	1.3376584071505722	1.3379295763038248	0.9997973218037366	True
REF047	X	121850000	3.504660051480772	3.6330952395755345	0.9646485490675527	True
REF048	X	121870000	2.0409023036989358	2.041176621673561	0.9998656079186325	True
REF049	X	122700000	2.0411765911595317	2.041176621673561	0.9999999850507647	False
REF050	X	123200000	2.944813053983712	3.0175927228486743	0.9758815467992458	True
REF051	X	123300000	2.0154473674269204	2.015447397941545	0.9999999848596274	False
REF052	X	125280000	2.015173666242292	2.015447397941545	0.9998641831587702	True
REF053	X	129200000	3.0879946424971463	3.240685799898747	0.9528830726488907	True
REF054	X	129240000	2.1725970240206984	2.1728679989064714	0.999875291602661	True
REF055	X	130400000	0.8571706030688185	2.1728679989064714	0.3944881159371865	True
REF056	X	130500000	2.1728679683841534	2.1728679989064714	0.999999985952981	False
REF057	X	130950000	3.8192534234671407	3.976222522009449	0.9605230598455086	True
REF058	X	131100000	2.2542136486004085	2.2544874742362193	0.999878541957345	True
REF059	X	136300000	1.0097517130608533	1.009751743583455	0.9999999697721722	False
REF060	X	140300000	1.0097517130818077	1.009751743583455	0.9999999697929243	False
REF061	X	141090000	1.44950625868357	1.5123571526097668	0.9584417650171195	True
REF062	X	141150000	1.8564794297454996	2.0091705872059547	0.9240028903305845	True
REF063	X	142150000	2.008891231862375	2.0091705872059547	0.9998609598680377	True
REF064	X	143760000	1.8319371072578368	1.8322289601172022	0.9998407115782371	True
REF065	X	145590000	0.854200579691729	0.9421315109740728	0.9066680922375352	True
REF066	X	153330000	0.9418571194320136	0.9421315109740728	0.9997087545222052	True
REF067	X	154950000	0.01817752520634188	0.018177556246291016	0.9999982924025257	False
