walk_id	walk_cn	circular	order	node_id	chrom	start	end	strand
1	0.23	FALSE	1	5	chr18	26000000	26400000	+
1	0.23	FALSE	2	6	chr18	26400000	27500000	+
1	0.23	FALSE	3	7	chr18	27500000	28250000	+
1	0.23	FALSE	4	8	chr18	28250000	28300000	+
1	0.23	FALSE	5	9	chr18	28300000	28350000	+
1	0.23	FALSE	6	10	chr18	28350000	29350000	+
1	0.23	FALSE	7	11	chr18	29350000	29600000	+
1	0.23	FALSE	8	12	chr18	29600000	31450000	+
1	0.23	FALSE	9	13	chr18	31450000	37150000	+
1	0.23	FALSE	10	14	chr18	37150000	37300000	+
1	0.23	FALSE	11	15	chr18	37300000	37800000	+
1	0.23	FALSE	12	16	chr18	37800000	39450000	+
1	0.23	FALSE	13	17	chr18	39450000	39700000	+
1	0.23	FALSE	14	18	chr18	39700000	41500000	+
1	0.23	FALSE	15	19	chr18	41500000	42000000	+
1	0.23	FALSE	16	20	chr18	42000000	46600000	+
1	0.23	FALSE	17	21	chr18	46600000	47050000	+
1	0.23	FALSE	18	22	chr18	47050000	48050000	+
1	0.23	FALSE	19	23	chr18	48050000	49750000	+
1	0.23	FALSE	20	24	chr18	49750000	50550000	+
2	0.24	FALSE	1	5	chr18	26000000	26400000	+
2	0.24	FALSE	2	6	chr18	26400000	27500000	+
2	0.24	FALSE	3	7	chr18	27500000	28250000	+
2	0.24	FALSE	4	8	chr18	28250000	28300000	+
2	0.24	FALSE	5	9	chr18	28300000	28350000	+
2	0.24	FALSE	6	10	chr18	28350000	29350000	+
2	0.24	FALSE	7	11	chr18	29350000	29600000	+
2	0.24	FALSE	8	12	chr18	29600000	31450000	+
2	0.24	FALSE	9	13	chr18	31450000	37150000	+
2	0.24	FALSE	10	14	chr18	37150000	37300000	+
2	0.24	FALSE	11	15	chr18	37300000	37800000	+
2	0.24	FALSE	12	16	chr18	37800000	39450000	+
2	0.24	FALSE	13	17	chr18	39450000	39700000	+
2	0.24	FALSE	14	18	chr18	39700000	41500000	+
2	0.24	FALSE	15	19	chr18	41500000	42000000	+
2	0.24	FALSE	16	20	chr18	42000000	46600000	+
2	0.24	FALSE	17	21	chr18	46600000	47050000	+
2	0.24	FALSE	18	22	chr18	47050000	48050000	+
2	0.24	FALSE	19	23	chr18	48050000	49750000	+
3	0.02	FALSE	1	5	chr18	26000000	26400000	+
3	0.02	FALSE	2	6	chr18	26400000	27500000	+
3	0.02	FALSE	3	7	chr18	27500000	28250000	+
3	0.02	FALSE	4	8	chr18	28250000	28300000	+
3	0.02	FALSE	5	9	chr18	28300000	28350000	+
3	0.02	FALSE	6	10	chr18	28350000	29350000	+
3	0.02	FALSE	7	11	chr18	29350000	29600000	+
3	0.02	FALSE	8	12	chr18	29600000	31450000	+
3	0.02	FALSE	9	13	chr18	31450000	37150000	+
3	0.02	FALSE	10	14	chr18	37150000	37300000	+
3	0.02	FALSE	11	15	chr18	37300000	37800000	+
3	0.02	FALSE	12	16	chr18	37800000	39450000	+
3	0.02	FALSE	13	17	chr18	39450000	39700000	+
3	0.02	FALSE	14	18	chr18	39700000	41500000	+
3	0.02	FALSE	15	19	chr18	41500000	42000000	+
3	0.02	FALSE	16	20	chr18	42000000	46600000	+
4	0.12	FALSE	1	32	chr18	70200000	71250000	+
4	0.12	FALSE	2	33	chr18	71250000	71950000	+
5	0.01	FALSE	1	7	chr18	27500000	28250000	+
5	0.01	FALSE	2	8	chr18	28250000	28300000	+
5	0.01	FALSE	3	9	chr18	28300000	28350000	+
5	0.01	FALSE	4	10	chr18	28350000	29350000	+
5	0.01	FALSE	5	11	chr18	29350000	29600000	+
5	0.01	FALSE	6	12	chr18	29600000	31450000	+
5	0.01	FALSE	7	13	chr18	31450000	37150000	+
5	0.01	FALSE	8	14	chr18	37150000	37300000	+
5	0.01	FALSE	9	15	chr18	37300000	37800000	+
5	0.01	FALSE	10	16	chr18	37800000	39450000	+
5	0.01	FALSE	11	17	chr18	39450000	39700000	+
5	0.01	FALSE	12	18	chr18	39700000	41500000	+
5	0.01	FALSE	13	19	chr18	41500000	42000000	+
5	0.01	FALSE	14	20	chr18	42000000	46600000	+
6	0.01	FALSE	1	32	chr18	70200000	71250000	+
7	0.48	FALSE	1	33	chr18	71250000	71950000	+
8	0.04	FALSE	1	33	chr18	71250000	71950000	+
8	0.04	FALSE	2	17	chr18	39450000	39700000	+
8	0.04	FALSE	3	18	chr18	39700000	41500000	+
8	0.04	FALSE	4	19	chr18	41500000	42000000	+
8	0.04	FALSE	5	9	chr18	28300000	28350000	-
8	0.04	FALSE	6	8	chr18	28250000	28300000	-
8	0.04	FALSE	7	7	chr18	27500000	28250000	-
8	0.04	FALSE	8	6	chr18	26400000	27500000	-
8	0.04	FALSE	9	5	chr18	26000000	26400000	-
9	0.05	TRUE	1	32	chr18	70200000	71250000	-
9	0.05	TRUE	2	31	chr18	69850000	70200000	-
9	0.05	TRUE	3	20	chr18	42000000	46600000	-
9	0.05	TRUE	4	19	chr18	41500000	42000000	-
9	0.05	TRUE	5	18	chr18	39700000	41500000	-
9	0.05	TRUE	6	17	chr18	39450000	39700000	-
9	0.05	TRUE	7	33	chr18	71250000	71950000	-
10	0.06	FALSE	1	7	chr18	27500000	28250000	+
10	0.06	FALSE	2	8	chr18	28250000	28300000	+
10	0.06	FALSE	3	9	chr18	28300000	28350000	+
10	0.06	FALSE	4	10	chr18	28350000	29350000	+
10	0.06	FALSE	5	11	chr18	29350000	29600000	+
10	0.06	FALSE	6	12	chr18	29600000	31450000	+
10	0.06	FALSE	7	13	chr18	31450000	37150000	+
10	0.06	FALSE	8	14	chr18	37150000	37300000	+
10	0.06	FALSE	9	15	chr18	37300000	37800000	+
10	0.06	FALSE	10	16	chr18	37800000	39450000	+
10	0.06	FALSE	11	17	chr18	39450000	39700000	+
10	0.06	FALSE	12	18	chr18	39700000	41500000	+
10	0.06	FALSE	13	19	chr18	41500000	42000000	+
10	0.06	FALSE	14	9	chr18	28300000	28350000	-
10	0.06	FALSE	15	8	chr18	28250000	28300000	-
10	0.06	FALSE	16	7	chr18	27500000	28250000	-
11	0.27	FALSE	1	32	chr18	70200000	71250000	+
11	0.27	FALSE	2	33	chr18	71250000	71950000	+
11	0.27	FALSE	3	34	chr18	71950000	77550000	+
11	0.27	FALSE	4	35	chr18	77550000	79000000	+
11	0.27	FALSE	5	36	chr18	79000000	79850000	+
11	0.27	FALSE	6	37	chr18	79850000	80373285	+
12	0.13	FALSE	1	15	chr18	37300000	37800000	+
12	0.13	FALSE	2	16	chr18	37800000	39450000	+
12	0.13	FALSE	3	17	chr18	39450000	39700000	+
12	0.13	FALSE	4	18	chr18	39700000	41500000	+
12	0.13	FALSE	5	19	chr18	41500000	42000000	+
12	0.13	FALSE	6	20	chr18	42000000	46600000	+
12	0.13	FALSE	7	31	chr18	69850000	70200000	+
12	0.13	FALSE	8	32	chr18	70200000	71250000	+
12	0.13	FALSE	9	33	chr18	71250000	71950000	+
12	0.13	FALSE	10	34	chr18	71950000	77550000	+
12	0.13	FALSE	11	35	chr18	77550000	79000000	+
12	0.13	FALSE	12	36	chr18	79000000	79850000	+
12	0.13	FALSE	13	37	chr18	79850000	80373285	+
13	0.07	FALSE	1	7	chr18	27500000	28250000	+
13	0.07	FALSE	2	8	chr18	28250000	28300000	+
13	0.07	FALSE	3	9	chr18	28300000	28350000	+
13	0.07	FALSE	4	10	chr18	28350000	29350000	+
13	0.07	FALSE	5	11	chr18	29350000	29600000	+
13	0.07	FALSE	6	12	chr18	29600000	31450000	+
13	0.07	FALSE	7	13	chr18	31450000	37150000	+
14	0.05	FALSE	1	28	chr18	64700000	65000000	-
14	0.05	FALSE	2	27	chr18	64500000	64700000	-
14	0.05	FALSE	3	26	chr18	52550000	64500000	-
14	0.05	FALSE	4	22	chr18	47050000	48050000	-
14	0.05	FALSE	5	21	chr18	46600000	47050000	-
14	0.05	FALSE	6	20	chr18	42000000	46600000	-
14	0.05	FALSE	7	19	chr18	41500000	42000000	-
14	0.05	FALSE	8	18	chr18	39700000	41500000	-
14	0.05	FALSE	9	17	chr18	39450000	39700000	-
14	0.05	FALSE	10	16	chr18	37800000	39450000	-
