segment_id	chrom	start	end	sequence_cn	balanced_sequence_cn
SEQ00001	chr1	0	600000	1.216175979097276	1.216175979097276
SEQ00002	chr1	600000	3900000	1.4121437929987393	1.4121437929987393
SEQ00003	chr1	3900000	5900000	1.0966240357419221	1.0966240357419221
SEQ00004	chr1	5900000	38300000	1.4118129894120364	1.4118129894120364
SEQ00005	chr1	38300000	120650000	2.8022195629270477	2.8022195629270477
SEQ00006	chr1	120650000	121550000	2.8022195629270477	2.8022195629270477
SEQ00007	chr1	121550000	122500000	0.9622809009538741	0.9622809009538741
SEQ00008	chr1	122500000	124750000	1.7661354602152441	1.7661354602152441
SEQ00009	chr1	124750000	125050000	1.7661354602152441	1.7661354602152441
SEQ00010	chr1	125050000	125150000	1.7661354602152441	1.7661354602152441
SEQ00011	chr1	125150000	143150000	0.015071637695415415	0.015071637695415415
SEQ00012	chr1	143150000	146300000	2.0449907251734833	2.0449907251734833
SEQ00013	chr1	146300000	149350000	2.0449907251734833	2.0449907251734833
SEQ00014	chr1	149350000	157150000	2.0449907251734833	2.0449907251734833
SEQ00015	chr1	157150000	159800000	2.0449907251734833	2.0449907251734833
SEQ00016	chr1	159800000	193000000	2.0449907251734833	2.0449907251734833
SEQ00017	chr1	193000000	193500000	2.0449907251734833	2.0449907251734833
SEQ00018	chr1	193500000	242500000	2.0449907251734833	2.0449907251734833
SEQ00019	chr1	242500000	242550000	2.0449907251734833	2.0449907251734833
SEQ00020	chr1	242550000	248956422	2.0449907251734833	2.0449907251734833
SEQ00021	chr10	0	21550000	1.349268061904915	1.349268061904915
SEQ00022	chr10	21550000	35550000	1.4391470378912612	1.4391470378912612
SEQ00023	chr10	35550000	37750000	1.3347383899870282	1.3347383899870282
SEQ00024	chr10	37750000	37800000	1.3347383899870282	1.3347383899870282
SEQ00025	chr10	37800000	38450000	1.7323975053010539	1.7323975053010539
SEQ00026	chr10	38450000	38550000	1.7323975053010539	1.7323975053010539
SEQ00027	chr10	38550000	39400000	1.7323975053010539	1.7323975053010539
SEQ00028	chr10	39400000	39500000	2.0992930890796586	2.0992930890796586
SEQ00029	chr10	39500000	45700000	2.0992930890796586	2.0992930890796586
SEQ00030	chr10	45700000	48200000	2.9580019428169173	2.9580019428169173
SEQ00031	chr10	48200000	104600000	2.0901608929868325	2.0901608929868325
SEQ00032	chr10	104600000	106000000	1.7022642378073927	1.7022642378073927
SEQ00033	chr10	106000000	106700000	2.1212163886703763	2.1212163886703763
SEQ00034	chr10	106700000	109600000	1.6896764306450787	1.6896764306450787
SEQ00035	chr10	109600000	111050000	2.1834583324117456	2.1834583324117456
SEQ00036	chr10	111050000	112100000	1.784655980857338	1.784655980857338
SEQ00037	chr10	112100000	128350000	2.0624392145380424	2.0624392145380424
